=== Isotonic Likelihood Ratio Test (Test FOR Order Restriction) ===
Data Source: ../data/final_data/prime_4_digits.csv
Test Dimension (k): 1061 primes
Monte Carlo Simulations: 10000
Global Base Success Rate (LFC p_0): 0.052137
-----------------------------------------------------------------
Hypothesis Frame:
  H0: Search difficulty (trials) is monotonically increasing or flat.
  H1: Search difficulty is completely unconstrained (wild fluctuations).
-----------------------------------------------------------------
Observed LRT Statistic (T) : 3726.665061
Monte Carlo P-Value        : 0.000000e+00
Final Statistical Verdict  : REJECT H0 (Data fluctuates too wildly; strictly increasing difficulty is rejected)
-----------------------------------------------------------------
Computation Time: 4.42 seconds

--- Isotonically Smoothed Inference Parameters (p_tilde) for Each Prime ---
Prime: 1373            | Original Mean y_bar:     8.15 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1381            | Original Mean y_bar:     9.80 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1399            | Original Mean y_bar:     9.20 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1409            | Original Mean y_bar:    23.25 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1423            | Original Mean y_bar:     7.05 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1427            | Original Mean y_bar:     9.10 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1429            | Original Mean y_bar:    10.85 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1433            | Original Mean y_bar:    11.40 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1439            | Original Mean y_bar:    20.30 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1447            | Original Mean y_bar:    12.05 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1451            | Original Mean y_bar:    11.10 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1453            | Original Mean y_bar:    12.05 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1459            | Original Mean y_bar:     9.95 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1471            | Original Mean y_bar:    14.05 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1481            | Original Mean y_bar:    11.15 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1483            | Original Mean y_bar:    10.70 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1487            | Original Mean y_bar:     9.95 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1489            | Original Mean y_bar:    13.65 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1493            | Original Mean y_bar:    10.25 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1499            | Original Mean y_bar:     6.45 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1511            | Original Mean y_bar:     7.10 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1523            | Original Mean y_bar:     5.60 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1531            | Original Mean y_bar:    10.60 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1543            | Original Mean y_bar:     9.65 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1549            | Original Mean y_bar:     6.90 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1553            | Original Mean y_bar:     9.40 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1559            | Original Mean y_bar:     7.20 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1567            | Original Mean y_bar:     9.70 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1571            | Original Mean y_bar:     9.20 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1579            | Original Mean y_bar:     7.00 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1583            | Original Mean y_bar:     7.50 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1597            | Original Mean y_bar:     5.40 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1601            | Original Mean y_bar:     8.75 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1607            | Original Mean y_bar:     4.75 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1609            | Original Mean y_bar:    12.15 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1613            | Original Mean y_bar:    13.60 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1619            | Original Mean y_bar:    14.30 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1621            | Original Mean y_bar:    12.45 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1627            | Original Mean y_bar:    13.00 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1637            | Original Mean y_bar:    10.95 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1657            | Original Mean y_bar:     9.95 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1663            | Original Mean y_bar:    17.90 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1667            | Original Mean y_bar:     7.75 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1669            | Original Mean y_bar:    14.50 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1693            | Original Mean y_bar:    11.35 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1697            | Original Mean y_bar:    16.30 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1699            | Original Mean y_bar:     8.95 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1709            | Original Mean y_bar:    12.00 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1721            | Original Mean y_bar:    13.55 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1723            | Original Mean y_bar:     5.90 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1733            | Original Mean y_bar:     9.90 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1741            | Original Mean y_bar:     8.75 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1747            | Original Mean y_bar:    10.05 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1753            | Original Mean y_bar:     9.10 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1759            | Original Mean y_bar:    10.45 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1777            | Original Mean y_bar:     7.40 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1783            | Original Mean y_bar:     6.70 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1787            | Original Mean y_bar:     9.20 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1789            | Original Mean y_bar:     8.65 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1801            | Original Mean y_bar:    12.85 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1811            | Original Mean y_bar:    13.10 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1823            | Original Mean y_bar:    23.20 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1831            | Original Mean y_bar:     7.90 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1847            | Original Mean y_bar:     5.35 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1861            | Original Mean y_bar:     7.45 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1867            | Original Mean y_bar:     9.90 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1871            | Original Mean y_bar:     5.60 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1873            | Original Mean y_bar:    10.10 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1877            | Original Mean y_bar:     8.25 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1879            | Original Mean y_bar:     8.65 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1889            | Original Mean y_bar:     9.65 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1901            | Original Mean y_bar:    11.55 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1907            | Original Mean y_bar:     7.00 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1913            | Original Mean y_bar:     7.35 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1931            | Original Mean y_bar:     6.90 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1933            | Original Mean y_bar:    13.25 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1949            | Original Mean y_bar:     8.15 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1951            | Original Mean y_bar:    18.55 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1973            | Original Mean y_bar:    10.10 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1979            | Original Mean y_bar:     6.00 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1987            | Original Mean y_bar:     5.75 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1993            | Original Mean y_bar:     7.65 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1997            | Original Mean y_bar:     8.40 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1999            | Original Mean y_bar:     6.55 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 2003            | Original Mean y_bar:     9.45 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 2011            | Original Mean y_bar:     9.75 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 2017            | Original Mean y_bar:    14.60 | Fitted Prob p_tilde: 0.092313 | Sample Size n: 20
Prime: 2027            | Original Mean y_bar:    10.75 | Fitted Prob p_tilde: 0.092313 | Sample Size n: 20
Prime: 2029            | Original Mean y_bar:    18.00 | Fitted Prob p_tilde: 0.092313 | Sample Size n: 20
Prime: 2039            | Original Mean y_bar:    10.30 | Fitted Prob p_tilde: 0.092313 | Sample Size n: 20
Prime: 2053            | Original Mean y_bar:     8.75 | Fitted Prob p_tilde: 0.092313 | Sample Size n: 20
Prime: 2063            | Original Mean y_bar:     7.15 | Fitted Prob p_tilde: 0.092313 | Sample Size n: 20
Prime: 2069            | Original Mean y_bar:    14.25 | Fitted Prob p_tilde: 0.092313 | Sample Size n: 20
Prime: 2081            | Original Mean y_bar:    11.35 | Fitted Prob p_tilde: 0.092313 | Sample Size n: 20
Prime: 2083            | Original Mean y_bar:    14.55 | Fitted Prob p_tilde: 0.092313 | Sample Size n: 20
Prime: 2087            | Original Mean y_bar:    12.70 | Fitted Prob p_tilde: 0.092313 | Sample Size n: 20
Prime: 2089            | Original Mean y_bar:    10.00 | Fitted Prob p_tilde: 0.092313 | Sample Size n: 20
Prime: 2099            | Original Mean y_bar:    13.05 | Fitted Prob p_tilde: 0.092313 | Sample Size n: 20
Prime: 2111            | Original Mean y_bar:    26.05 | Fitted Prob p_tilde: 0.092313 | Sample Size n: 20
Prime: 2113            | Original Mean y_bar:    10.30 | Fitted Prob p_tilde: 0.092313 | Sample Size n: 20
Prime: 2129            | Original Mean y_bar:    15.85 | Fitted Prob p_tilde: 0.092313 | Sample Size n: 20
Prime: 2131            | Original Mean y_bar:     8.90 | Fitted Prob p_tilde: 0.092313 | Sample Size n: 20
Prime: 2137            | Original Mean y_bar:    17.30 | Fitted Prob p_tilde: 0.092313 | Sample Size n: 20
Prime: 2141            | Original Mean y_bar:    15.90 | Fitted Prob p_tilde: 0.092313 | Sample Size n: 20
Prime: 2143            | Original Mean y_bar:    15.55 | Fitted Prob p_tilde: 0.092313 | Sample Size n: 20
Prime: 2153            | Original Mean y_bar:    18.95 | Fitted Prob p_tilde: 0.092313 | Sample Size n: 20
Prime: 2161            | Original Mean y_bar:     8.50 | Fitted Prob p_tilde: 0.092313 | Sample Size n: 20
Prime: 2179            | Original Mean y_bar:     6.50 | Fitted Prob p_tilde: 0.092313 | Sample Size n: 20
Prime: 2203            | Original Mean y_bar:     8.40 | Fitted Prob p_tilde: 0.092313 | Sample Size n: 20
Prime: 2207            | Original Mean y_bar:    13.55 | Fitted Prob p_tilde: 0.092313 | Sample Size n: 20
Prime: 2213            | Original Mean y_bar:    14.90 | Fitted Prob p_tilde: 0.092313 | Sample Size n: 20
Prime: 2221            | Original Mean y_bar:    12.15 | Fitted Prob p_tilde: 0.092313 | Sample Size n: 20
Prime: 2237            | Original Mean y_bar:     6.65 | Fitted Prob p_tilde: 0.092313 | Sample Size n: 20
Prime: 2239            | Original Mean y_bar:     8.20 | Fitted Prob p_tilde: 0.092313 | Sample Size n: 20
Prime: 2243            | Original Mean y_bar:     7.10 | Fitted Prob p_tilde: 0.092313 | Sample Size n: 20
Prime: 2251            | Original Mean y_bar:     7.25 | Fitted Prob p_tilde: 0.092313 | Sample Size n: 20
Prime: 2267            | Original Mean y_bar:     8.65 | Fitted Prob p_tilde: 0.092313 | Sample Size n: 20
Prime: 2269            | Original Mean y_bar:     8.80 | Fitted Prob p_tilde: 0.092313 | Sample Size n: 20
Prime: 2273            | Original Mean y_bar:    14.80 | Fitted Prob p_tilde: 0.092313 | Sample Size n: 20
