=== Isotonic Likelihood Ratio Test (Test FOR Order Restriction) ===
Data Source: ../data/final_data/prime_6_digits.csv
Test Dimension (k): 8060 primes
Monte Carlo Simulations: 10000
Global Base Success Rate (LFC p_0): 0.006153
-----------------------------------------------------------------
Hypothesis Frame:
  H0: Search difficulty (trials) is monotonically increasing or flat.
  H1: Search difficulty is completely unconstrained (wild fluctuations).
-----------------------------------------------------------------
Observed LRT Statistic (T) : 25152.250511
Monte Carlo P-Value        : 0.000000e+00
Final Statistical Verdict  : REJECT H0 (Data fluctuates too wildly; strictly increasing difficulty is rejected)
-----------------------------------------------------------------
Computation Time: 25.98 seconds

--- Isotonically Smoothed Inference Parameters (p_tilde) for Each Prime ---
Prime: 105491          | Original Mean y_bar:    56.20 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 105871          | Original Mean y_bar:    38.15 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 105913          | Original Mean y_bar:    92.50 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 105943          | Original Mean y_bar:    66.20 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 106187          | Original Mean y_bar:    83.00 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 106291          | Original Mean y_bar:   101.85 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 106363          | Original Mean y_bar:    71.80 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 106411          | Original Mean y_bar:    81.40 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 106961          | Original Mean y_bar:   109.00 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 107119          | Original Mean y_bar:    40.35 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 107201          | Original Mean y_bar:   133.55 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 107671          | Original Mean y_bar:    54.40 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 107699          | Original Mean y_bar:    64.10 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 107741          | Original Mean y_bar:    74.10 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 107761          | Original Mean y_bar:   118.05 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 107827          | Original Mean y_bar:    73.60 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 107951          | Original Mean y_bar:    61.00 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
