=== Isotonic Likelihood Ratio Test (Test FOR Order Restriction) ===
Data Source: ../data/final_data/prime_11_digits.csv
Test Dimension (k): 3103 primes
Monte Carlo Simulations: 10000
Global Base Success Rate (LFC p_0): 0.000019
-----------------------------------------------------------------
Hypothesis Frame:
  H0: Search difficulty (trials) is monotonically increasing or flat.
  H1: Search difficulty is completely unconstrained (wild fluctuations).
-----------------------------------------------------------------
Observed LRT Statistic (T) : 4623.424234
Monte Carlo P-Value        : 0.000000e+00
Final Statistical Verdict  : REJECT H0 (Data fluctuates too wildly; strictly increasing difficulty is rejected)
-----------------------------------------------------------------
Computation Time: 10.59 seconds

--- Isotonically Smoothed Inference Parameters (p_tilde) for Each Prime ---
Prime: 11082774413     | Original Mean y_bar:  8182.20 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 11221990811     | Original Mean y_bar: 28862.60 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 11226436031     | Original Mean y_bar: 17580.20 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 11242473139     | Original Mean y_bar: 17203.00 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 11302136141     | Original Mean y_bar: 26473.00 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 11309356699     | Original Mean y_bar: 15224.80 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 11318170411     | Original Mean y_bar:  5318.60 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 11347847317     | Original Mean y_bar: 14261.60 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 11379441209     | Original Mean y_bar: 90783.20 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 11430387607     | Original Mean y_bar: 16494.80 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 11433560767     | Original Mean y_bar: 14587.80 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 11484217457     | Original Mean y_bar: 15372.20 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 11492652533     | Original Mean y_bar: 36880.80 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 11492652631     | Original Mean y_bar: 30165.20 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 11540416817     | Original Mean y_bar: 20514.40 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 11568908683     | Original Mean y_bar: 12790.40 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 11595266321     | Original Mean y_bar: 14062.40 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 11606556331     | Original Mean y_bar:  6989.40 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 11651916929     | Original Mean y_bar: 27279.80 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 11677006007     | Original Mean y_bar:  6617.20 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 11707593461     | Original Mean y_bar: 26448.60 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 11715943171     | Original Mean y_bar:  8903.40 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 11798580721     | Original Mean y_bar: 13956.20 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 11844211097     | Original Mean y_bar: 20950.40 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 11887300939     | Original Mean y_bar:  6822.60 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 11948527379     | Original Mean y_bar: 16524.80 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 11960380697     | Original Mean y_bar: 41250.20 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 11982004613     | Original Mean y_bar: 13832.20 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 12202611649     | Original Mean y_bar: 18454.80 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 12220920329     | Original Mean y_bar: 48700.60 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 12268103719     | Original Mean y_bar: 42156.60 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 12298474157     | Original Mean y_bar: 37620.20 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 12348128719     | Original Mean y_bar: 13610.40 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 12435038633     | Original Mean y_bar: 20335.20 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 12437015663     | Original Mean y_bar: 10247.40 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 12464096399     | Original Mean y_bar:  5963.20 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 12469087159     | Original Mean y_bar: 14310.80 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 12516086381     | Original Mean y_bar: 29062.40 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 12525562897     | Original Mean y_bar: 18020.40 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 12553087367     | Original Mean y_bar: 15023.80 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 12563404661     | Original Mean y_bar: 19996.80 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 12586975987     | Original Mean y_bar: 14375.60 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 12639050029     | Original Mean y_bar: 26845.60 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 12706360889     | Original Mean y_bar: 27342.20 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 12812543417     | Original Mean y_bar: 15472.00 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 12928769837     | Original Mean y_bar: 15083.60 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 12964997761     | Original Mean y_bar: 31174.00 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 12981374699     | Original Mean y_bar: 18647.60 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 13013381819     | Original Mean y_bar: 22030.60 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 13013633417     | Original Mean y_bar: 22072.80 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 13013740039     | Original Mean y_bar: 14792.20 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 13050141311     | Original Mean y_bar: 16205.80 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 13062472999     | Original Mean y_bar: 12037.40 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 13072733411     | Original Mean y_bar:  9563.00 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 13081514189     | Original Mean y_bar:  5966.40 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 13081748983     | Original Mean y_bar: 20848.00 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 13089235519     | Original Mean y_bar: 11415.40 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 13128284789     | Original Mean y_bar: 15245.00 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 13142082817     | Original Mean y_bar: 42266.80 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 13156394393     | Original Mean y_bar:  9475.80 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 13175580401     | Original Mean y_bar: 25536.00 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 13198440251     | Original Mean y_bar: 17377.20 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 13199107069     | Original Mean y_bar: 10359.00 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 13225529137     | Original Mean y_bar: 15772.40 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 13262653189     | Original Mean y_bar: 54988.80 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 13323338381     | Original Mean y_bar: 24298.60 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 13370154029     | Original Mean y_bar: 20871.00 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 13408651163     | Original Mean y_bar:  8270.20 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 13409355991     | Original Mean y_bar: 11690.60 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 13410060127     | Original Mean y_bar: 36219.00 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 13428418307     | Original Mean y_bar:  6174.80 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 13532775521     | Original Mean y_bar: 12443.40 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 13561823537     | Original Mean y_bar: 38801.00 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 13603991881     | Original Mean y_bar: 16104.00 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 13616629721     | Original Mean y_bar:  9756.20 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 13624029467     | Original Mean y_bar: 31727.20 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 13658739499     | Original Mean y_bar: 17993.20 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 13676240387     | Original Mean y_bar: 18980.60 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 13712457347     | Original Mean y_bar: 27499.60 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 13756713991     | Original Mean y_bar: 21167.00 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 13803289319     | Original Mean y_bar: 21983.20 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 13918978651     | Original Mean y_bar: 14487.60 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 13940775509     | Original Mean y_bar:  8101.40 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 13951569889     | Original Mean y_bar: 31571.80 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 13957725667     | Original Mean y_bar:  4820.80 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 13994935291     | Original Mean y_bar: 16979.80 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 14010709571     | Original Mean y_bar: 11143.40 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 14015641309     | Original Mean y_bar: 10272.00 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 14055835531     | Original Mean y_bar: 15140.60 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 14059713449     | Original Mean y_bar: 35655.00 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 14077303379     | Original Mean y_bar: 15841.60 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 14084897591     | Original Mean y_bar: 27971.60 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
