=== Isotonic Likelihood Ratio Test (Test FOR Order Restriction) ===
Data Source: ../data/final_data/prime_10_digits.csv
Test Dimension (k): 3484 primes
Monte Carlo Simulations: 10000
Global Base Success Rate (LFC p_0): 0.000061
-----------------------------------------------------------------
Hypothesis Frame:
  H0: Search difficulty (trials) is monotonically increasing or flat.
  H1: Search difficulty is completely unconstrained (wild fluctuations).
-----------------------------------------------------------------
Observed LRT Statistic (T) : 5269.921079
Monte Carlo P-Value        : 0.000000e+00
Final Statistical Verdict  : REJECT H0 (Data fluctuates too wildly; strictly increasing difficulty is rejected)
-----------------------------------------------------------------
Computation Time: 11.96 seconds

--- Isotonically Smoothed Inference Parameters (p_tilde) for Each Prime ---
Prime: 1122235547      | Original Mean y_bar: 13024.40 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1125242101      | Original Mean y_bar:  7787.40 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1126670711      | Original Mean y_bar:  6900.40 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1127592121      | Original Mean y_bar: 12406.00 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1128375217      | Original Mean y_bar: 11426.60 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1129581731      | Original Mean y_bar: 24712.40 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1133051873      | Original Mean y_bar: 13473.00 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1133537753      | Original Mean y_bar:  4988.40 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1140317999      | Original Mean y_bar:  6649.80 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1142879533      | Original Mean y_bar: 51632.00 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1146150779      | Original Mean y_bar:  8664.40 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1149750221      | Original Mean y_bar:  4544.80 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1151873731      | Original Mean y_bar:  7727.20 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1159230143      | Original Mean y_bar:  3380.60 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1159611967      | Original Mean y_bar:  9180.00 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1159623389      | Original Mean y_bar: 19238.40 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1162647043      | Original Mean y_bar:  7034.40 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1165979021      | Original Mean y_bar:  2632.80 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1167825751      | Original Mean y_bar:  2848.20 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1169120041      | Original Mean y_bar: 14500.00 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1169808667      | Original Mean y_bar:  4841.80 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1179416831      | Original Mean y_bar:  8815.40 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1179606277      | Original Mean y_bar: 14329.40 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1179635267      | Original Mean y_bar:  5488.60 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1183644619      | Original Mean y_bar:  5951.80 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1186172371      | Original Mean y_bar:  7302.00 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1186521383      | Original Mean y_bar:  8320.40 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1188313351      | Original Mean y_bar:  4457.80 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1195060247      | Original Mean y_bar: 11861.60 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1197062819      | Original Mean y_bar: 11118.80 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1198073231      | Original Mean y_bar:  6930.00 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1201716937      | Original Mean y_bar:  6595.60 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1208250971      | Original Mean y_bar: 15726.80 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1213864321      | Original Mean y_bar:  5887.80 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1218545371      | Original Mean y_bar:  3617.00 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1219415489      | Original Mean y_bar: 15774.20 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1221657713      | Original Mean y_bar: 25786.00 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1222572821      | Original Mean y_bar: 15510.00 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1223451773      | Original Mean y_bar:  3751.00 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1224327583      | Original Mean y_bar:  6642.80 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1227588601      | Original Mean y_bar: 15378.20 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1236037657      | Original Mean y_bar: 10741.40 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1236784291      | Original Mean y_bar:  6751.80 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1238739923      | Original Mean y_bar: 28707.20 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1243942643      | Original Mean y_bar: 14331.40 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1244513771      | Original Mean y_bar:  4777.80 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1245181829      | Original Mean y_bar:  2444.20 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1253085013      | Original Mean y_bar:  7768.60 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1255601107      | Original Mean y_bar:  4277.60 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1256459849      | Original Mean y_bar: 10514.40 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1257218311      | Original Mean y_bar:  2451.40 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1258304149      | Original Mean y_bar:  4325.60 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1258485913      | Original Mean y_bar:  4479.00 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1258899743      | Original Mean y_bar: 11559.20 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1260533669      | Original Mean y_bar: 11631.20 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1263567523      | Original Mean y_bar:  9752.40 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1265406589      | Original Mean y_bar:  8936.60 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1269066989      | Original Mean y_bar:  4189.00 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1270400909      | Original Mean y_bar:  8268.20 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1270623457      | Original Mean y_bar: 21843.00 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1272345031      | Original Mean y_bar:  3667.80 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1273575691      | Original Mean y_bar:  7605.00 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1273853257      | Original Mean y_bar: 18181.00 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1278066563      | Original Mean y_bar:  2907.60 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1279523317      | Original Mean y_bar:  7764.00 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1279637939      | Original Mean y_bar: 18196.80 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1280934313      | Original Mean y_bar: 24945.80 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1280990657      | Original Mean y_bar: 22760.60 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1281285997      | Original Mean y_bar:  6617.80 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1282288067      | Original Mean y_bar:  5870.80 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1286232149      | Original Mean y_bar: 24539.20 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1286424511      | Original Mean y_bar:  4012.80 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1290580061      | Original Mean y_bar:  4578.60 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1290948707      | Original Mean y_bar:  4912.80 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1294481263      | Original Mean y_bar: 22177.20 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1297845917      | Original Mean y_bar: 11353.20 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1297920361      | Original Mean y_bar: 13270.20 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1298755699      | Original Mean y_bar: 11842.20 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1299261721      | Original Mean y_bar: 15986.40 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1302281843      | Original Mean y_bar: 18237.60 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1302301421      | Original Mean y_bar:  8953.00 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1302682933      | Original Mean y_bar: 18717.80 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1302864317      | Original Mean y_bar:  6810.60 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1308183059      | Original Mean y_bar:  6920.40 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
