Interval_Range,Triplet_ID,Prime_1,Prime_2,Prime_3
100000-110000,1,105373,108179,109519
110001-121001,2,110933,115259,119569
121002-133102,3,123661,126547,128959
133103-146413,4,135893,136849,144961
146414-161055,5,153641,155851,160669
161056-177161,6,166471,167047,169709
177162-194878,7,181913,188443,191123
194879-214366,8,200657,207401,210323
214367-235803,9,221393,225859,228113
235804-259384,10,247391,248309,249433
259385-285323,11,268237,269069,273193
285324-313856,12,290219,303019,306707
313857-345242,13,323341,333253,339139
345243-379767,14,355811,372871,378869
379768-417744,15,392177,401411,408817
417745-459519,16,429043,432343,452957
459520-505472,17,465169,469769,501139
505473-556020,18,510383,515929,533893
556021-611623,19,586319,594821,600703
611624-672786,20,623221,633931,648871
672787-740065,21,702199,702733,731141
740066-814072,22,750313,789181,792821
814073-895480,23,864419,883517,894763
895481-985029,24,933671,951331,971153
985030-999999,25,985937,991499,998071
