Interval_Range,Triplet_ID,Prime_1,Prime_2,Prime_3
1000000-1100000,1,1011509,1023977,1048583
1100001-1210001,2,1117267,1148977,1201841
1210002-1331002,3,1239599,1298989,1318487
1331003-1464103,4,1342877,1354193,1436531
1464104-1610514,5,1495859,1547723,1572643
1610515-1771566,6,1660871,1754231,1769623
1771567-1948723,7,1840843,1887103,1910147
1948724-2143596,8,2042357,2109269,2131361
2143597-2357956,9,2147309,2149781,2208097
2357957-2593752,10,2421817,2464019,2501281
2593753-2853128,11,2621147,2641993,2755163
2853129-3138441,12,2956123,3058597,3110759
3138442-3452286,13,3213383,3260839,3309961
3452287-3797515,14,3477977,3692929,3715889
3797516-4177267,15,3817249,3865889,3995093
4177268-4594994,16,4248553,4432217,4583713
4594995-5054494,17,4678049,4689109,4735697
5054495-5559944,18,5109161,5461331,5554183
5559945-6115939,19,5652289,6046561,6071323
6115940-6727534,20,6602707,6660109,6673523
6727535-7400288,21,6758977,6955307,7180583
7400289-8140317,22,7621583,7683821,7950623
8140318-8954349,23,8177921,8226389,8409437
8954350-9849785,24,9246599,9621791,9651517
9849786-9999999,25,9902183,9913291,9915467
