Interval_Range,Triplet_ID,Prime_1,Prime_2,Prime_3
10000000000-11000000000,1,10551954139,10642582463,10768061351
11000000001-12100000001,2,11348624249,11457951251,11814220147
12100000002-13310000002,3,12255732337,12626736407,12866347873
13310000003-14641000003,4,13380290039,13429313141,14618732669
14641000004-16105100004,5,14693594039,15739786343,15744625909
16105100005-17715610005,6,16253393171,16606782551,17378546519
17715610006-19487171006,7,17967590189,18568327751,18718688089
19487171007-21435888107,8,19617786457,20149462051,20792531849
21435888108-23579476918,9,22399209691,23393011709,23562351821
23579476919-25937424610,10,24082237429,25008272479,25857463043
25937424611-28531167072,11,25986939443,26353799963,26527487809
28531167073-31384283780,12,30322377193,30614119397,31254559559
31384283781-34522712159,13,31888703269,32241559139,32799231607
34522712160-37974983376,14,35398123951,35683896431,37103471863
37974983377-41772481714,15,38130619493,38626403051,40868196541
41772481715-45949729886,16,42366692281,44898471257,45629797469
45949729887-50544702875,17,46877704087,48513684031,49527454909
50544702876-55599173163,18,51423255473,51459507551,54310798469
55599173164-61159090480,19,56209850269,56465904023,60901043887
61159090481-67274999529,20,62082786137,62850999223,64924824911
67274999530-74002499483,21,67515707291,69704298827,71593777357
74002499484-81402749432,22,75318015631,75328244527,77183707681
81402749433-89543024376,23,81736983941,83138205229,83392567651
89543024377-98497326814,24,89944316323,93844913387,97054467221
98497326815-99999999999,25,99191533471,99272986291,99488404643
