Interval_Range,Triplet_ID,Prime_1,Prime_2,Prime_3
1000000000000-1100000000000,1,1021737180949,1042505371289,1063739518249
1100000000001-1210000000001,2,1168294609511,1192480469797,1195539455879
1210000000002-1331000000002,3,1223763828223,1247444121523,1308448904969
1331000000003-1464100000003,4,1370908736101,1435493818079,1463858137919
