prime,A,x0,trials
151901905289,49139782655,12345694997,11135
151901905289,36984901963,67036081743,16217
151901905289,68949202931,9693140854,89479
151901905289,131183118870,67817896790,57520
151901905289,26196025182,70141199526,18170
151901905289,142906912263,107844524982,43718
151901905289,55432580515,110547790451,2010
151901905289,43549689499,2352120735,16132
151901905289,151129579335,79080963773,251888
151901905289,49612930342,87633164407,38421
155946423949,69310323395,79131250814,161927
155946423949,11122801184,67972883680,12730
155946423949,110342570385,84132517945,107480
155946423949,126394147650,45424915314,117776
155946423949,114913964140,127759405201,93338
155946423949,137137181734,84710504767,17019
155946423949,85306859224,2497089262,183758
155946423949,134041640470,128802908548,26888
155946423949,89787828924,130745274479,39984
155946423949,114712767227,105711223287,10284
161047329341,125460631676,64679287363,37102
161047329341,127563125788,29856060207,54626
161047329341,114598073869,52938768500,116863
161047329341,52262275082,145065040708,74254
161047329341,88747085318,142824606183,1782
161047329341,132782007127,95031517697,33167
161047329341,135260065434,86089742975,141193
161047329341,148863937027,82268730469,125598
161047329341,45585126010,55310600465,59329
161047329341,65516562520,8022339400,47700
