prime,A,x0,trials
244724000707,124214295856,91478175294,88898
244724000707,14037158626,232824826704,4922
244724000707,183165173503,209054590854,85204
244724000707,179279882517,123728957320,13969
244724000707,193952413863,15744161679,274804
244724000707,5500406567,228977152470,327685
244724000707,179405270529,201046560350,84714
244724000707,168396118191,192548281556,499723
244724000707,180746228339,11214052029,31972
244724000707,29004046184,170295488558,76797
252199486537,66617387210,85911092789,56572
252199486537,94535692720,152110712765,8751
252199486537,149882417135,214322218676,80353
252199486537,99182440726,112808110468,4449
252199486537,147406184399,157026836381,14557
252199486537,73705145075,55369095287,40165
252199486537,138935295260,688554202,10251
252199486537,189774591682,235037567158,1285
252199486537,17979037936,50165321011,4783
252199486537,88929172887,929447296,6827
256140795257,10288164002,53886986771,33195
256140795257,78443562754,186902274198,137411
256140795257,121251633109,30091017283,84359
256140795257,246086975294,179178111135,192949
256140795257,49772749866,173593105845,125335
256140795257,203673397339,39320938921,77532
256140795257,171742376990,33902492725,99367
256140795257,126521419824,44580513761,60709
256140795257,68357973278,71924208177,82567
256140795257,168672441565,108077594200,32044
