Interval_Range,Triplet_ID,Prime_1,Prime_2,Prime_3
100000000-110000000,1,102224677,103489801,105804737
110000001-121000001,2,114874073,116234603,117865717
121000002-133100002,3,121949189,125539507,130334821
133100003-146410003,4,134437423,140131297,144411313
146410004-161051004,5,152478539,153614353,160893289
161051005-177156105,6,161417297,169074253,174179101
177156106-194871716,7,177723199,180979103,182646001
194871717-214358888,8,204183913,207493829,209525083
214358889-235794777,9,217450237,223510751,227902361
235794778-259374255,10,253388393,254965339,255960781
259374256-285311681,11,268978639,271416503,276817907
285311682-313842850,12,294862391,299130131,302615539
313842851-345227136,13,314934547,316861949,335183957
345227137-379749850,14,362472599,365848261,368016709
379749851-417724836,15,394441517,397208677,406564541
417724837-459497320,16,432386627,437646877,453358739
459497321-505447053,17,468583417,470297351,483059659
505447054-555991759,18,507883709,510435223,511855007
555991760-611590936,19,575449097,580029991,603445211
611590937-672750030,20,612425053,636838583,657746987
672750031-740025034,21,689296789,724291297,732790319
740025035-814027538,22,760218929,791835049,793662563
814027539-895430292,23,854884813,887576713,891325081
895430293-984973322,24,909880187,968545733,970055453
984973323-999999999,25,991512637,996040763,999995663
