prime,A,x0,trials,param_a_count,param_b_avg
70017041,58612461,27721424,1166,2.0,14593.11
70017041,68463263,17818684,4619,2.0,14593.11
70017041,53452613,34163576,1646,2.0,14593.11
70017041,59665903,12737953,2335,2.0,14593.11
70017041,61199998,1377710,818,2.0,14593.11
70017041,13479358,4164608,1872,2.0,14593.11
70017041,39721077,69348332,11766,2.0,14593.11
70017041,63710282,11648270,861,2.0,14593.11
70017041,18605602,48762231,2852,2.0,14593.11
70017041,9326708,4427112,3028,2.0,14593.11
70882547,23035214,43652037,790,2.0,14346.29
70882547,69979241,24087226,796,2.0,14346.29
70882547,10696992,53655559,595,2.0,14346.29
70882547,53039835,51672416,1172,2.0,14346.29
70882547,14347707,17155468,1258,2.0,14346.29
70882547,54528637,54289763,2838,2.0,14346.29
70882547,58565822,37041944,969,2.0,14346.29
70882547,26876245,61842592,4140,2.0,14346.29
70882547,9058001,21518480,4829,2.0,14346.29
70882547,20196647,55708480,738,2.0,14346.29
71975429,25228822,31784091,232,3.0,8155.13
71975429,67998726,41161991,4025,3.0,8155.13
71975429,54878685,28557672,4393,3.0,8155.13
71975429,54935488,28193964,3765,3.0,8155.13
71975429,47173157,26187513,11347,3.0,8155.13
71975429,64471883,59337778,3313,3.0,8155.13
71975429,59327799,42039792,1114,3.0,8155.13
71975429,71673386,56217201,2464,3.0,8155.13
71975429,9630045,5914447,3298,3.0,8155.13
71975429,52463330,65581968,497,3.0,8155.13
