prime,A,x0,trials,param_a_count,param_b_avg
181297,23535,58883,114,3.0,735.09
181297,53619,52329,104,3.0,735.09
181297,3208,85273,6,3.0,735.09
181297,162902,42213,204,3.0,735.09
181297,146118,73162,24,3.0,735.09
181297,13020,5721,142,3.0,735.09
181297,78270,125881,199,3.0,735.09
181297,70837,11300,25,3.0,735.09
181297,71810,126256,11,3.0,735.09
181297,47337,80503,18,3.0,735.09
188957,2109,30279,86,3.0,757.38
188957,148348,41931,46,3.0,757.38
188957,124510,182126,45,3.0,757.38
188957,114791,184473,1,3.0,757.38
188957,92909,92296,30,3.0,757.38
188957,90511,12315,105,3.0,757.38
188957,167633,29717,51,3.0,757.38
188957,98131,134826,19,3.0,757.38
188957,83612,110759,108,3.0,757.38
188957,57765,109197,20,3.0,757.38
190283,3548,45296,134,4.0,603.16
190283,187340,100572,8,4.0,603.16
190283,132939,155281,32,4.0,603.16
190283,126866,44915,56,4.0,603.16
190283,359,12595,348,4.0,603.16
190283,131323,142534,17,4.0,603.16
190283,142749,130956,17,4.0,603.16
190283,57532,138244,19,4.0,603.16
190283,147984,117066,91,4.0,603.16
190283,107314,36116,40,4.0,603.16
