prime,A,x0,trials,param_a_count,param_b_avg
673411,191475,601074,84,3.0,1318.73
673411,418254,409920,62,3.0,1318.73
673411,467206,611260,276,3.0,1318.73
673411,267943,226462,424,3.0,1318.73
673411,127175,576587,124,3.0,1318.73
673411,537602,318396,377,3.0,1318.73
673411,389409,342020,12,3.0,1318.73
673411,341716,665040,78,3.0,1318.73
673411,315718,13613,46,3.0,1318.73
673411,614014,13377,19,3.0,1318.73
696961,250365,408248,8,4.0,1044.53
696961,372846,663130,166,4.0,1044.53
696961,557748,362065,328,4.0,1044.53
696961,170517,516318,289,4.0,1044.53
696961,535822,152438,38,4.0,1044.53
696961,139925,594677,19,4.0,1044.53
696961,372528,379286,95,4.0,1044.53
696961,68087,569625,97,4.0,1044.53
696961,104661,314547,91,4.0,1044.53
696961,182581,1200,33,4.0,1044.53
714377,569027,211941,6,4.0,1098.58
714377,431203,374315,218,4.0,1098.58
714377,335744,662014,54,4.0,1098.58
714377,543325,464375,531,4.0,1098.58
714377,479664,453937,151,4.0,1098.58
714377,460610,190858,95,4.0,1098.58
714377,569632,458084,34,4.0,1098.58
714377,636068,99429,185,4.0,1098.58
714377,412931,426790,680,4.0,1098.58
714377,558683,627229,70,4.0,1098.58
