prime,A,x0,trials,param_a_count,param_b_avg
354139,118232,260983,170,3.0,691.27
354139,162586,109086,72,3.0,691.27
354139,306862,145803,171,3.0,691.27
354139,262580,143230,44,3.0,691.27
354139,100256,328858,75,3.0,691.27
354139,260279,171808,169,3.0,691.27
354139,189983,298450,168,3.0,691.27
354139,48302,270212,14,3.0,691.27
354139,342797,291171,32,3.0,691.27
354139,271678,80031,24,3.0,691.27
357781,66688,82665,121,2.0,1074.8
357781,100075,1178,367,2.0,1074.8
357781,247480,345843,1186,2.0,1074.8
357781,3280,182840,92,2.0,1074.8
357781,183702,165380,182,2.0,1074.8
357781,77686,189818,435,2.0,1074.8
357781,340510,105579,499,2.0,1074.8
357781,133193,75062,270,2.0,1074.8
357781,120123,7227,489,2.0,1074.8
357781,339053,188485,1206,2.0,1074.8
371633,72428,74147,49,3.0,835.85
371633,248875,248297,375,3.0,835.85
371633,266187,197840,183,3.0,835.85
371633,14071,76907,56,3.0,835.85
371633,128655,11827,107,3.0,835.85
371633,302505,284208,109,3.0,835.85
371633,122363,183078,60,3.0,835.85
371633,26853,320945,54,3.0,835.85
371633,270441,146013,287,3.0,835.85
371633,181543,114630,168,3.0,835.85
