Interval_ID,Start,End,Valid_Triplets,Rejections,Rejection_Rate
1,1000000000,1100000000,1,0,0.0
2,1100000001,1210000001,1,0,0.0
3,1210000002,1331000002,1,0,0.0
4,1331000003,1464100003,1,0,0.0
5,1464100004,1610510004,1,0,0.0
6,1610510005,1771561005,1,0,0.0
7,1771561006,1948717106,1,0,0.0
8,1948717107,2143588817,1,0,0.0
9,2143588818,2357947699,1,0,0.0
10,2357947700,2593742470,1,1,100.0
11,2593742471,2853116718,1,0,0.0
12,2853116719,3138428390,1,0,0.0
13,3138428391,3452271230,1,0,0.0
14,3452271231,3797498354,1,0,0.0
15,3797498355,4177248190,1,0,0.0
16,4177248191,4594973010,1,0,0.0
17,4594973011,5054470312,1,0,0.0
18,5054470313,5559917344,1,0,0.0
19,5559917345,6115909079,1,0,0.0
20,6115909080,6727499988,1,0,0.0
21,6727499989,7400249987,1,0,0.0
22,7400249988,8140274986,1,0,0.0
23,8140274987,8954302485,1,1,100.0
24,8954302486,9849732734,1,0,0.0
25,9849732735,9999999999,1,0,0.0
GLOBAL_SUMMARY,ALL,ALL,25,2,8.0
