prime,A,x0,trials
9886843661,8866641821,370512781,10287
9886843661,8102961489,4865090901,82396
9886843661,3849803383,9686723754,23254
9886843661,7387733523,1752020763,1052
9886843661,7479028141,2854178473,365
9886843661,8466464001,937261502,4322
9886843661,637573048,5490892412,16224
9886843661,5383388059,1418608280,27787
9886843661,5987698505,124533236,3774
9886843661,7072763537,158239527,1401
9937261519,1404594470,3015720256,10135
9937261519,5445789659,6564087305,40858
9937261519,4967849080,1772744159,10702
9937261519,9487138473,1702700323,29003
9937261519,9349140710,6818046734,9234
9937261519,117746718,4021779331,33748
9937261519,1190344020,9230275116,8385
9937261519,8746021426,9642080538,9953
9937261519,2197754172,6774940909,157
9937261519,3667800016,5473868332,19997
9944517839,309954084,4906305441,4361
9944517839,997407373,1733248296,3542
9944517839,3457668541,6190813790,18180
9944517839,7596673882,5075702854,1709
9944517839,9470065402,3485570920,3220
9944517839,1986797756,3033587812,3531
9944517839,6899136832,3853437765,9231
9944517839,7529245089,7979085666,45328
9944517839,1948299043,1460857362,5095
9944517839,8197047105,5845051978,56214
