prime,A,x0,trials
2436861419,2267147524,460119872,10518
2436861419,788342493,2049880568,13042
2436861419,825216650,2050600067,6459
2436861419,371974801,1581889696,14213
2436861419,2238280130,2166824543,32706
2436861419,1847961655,1717251685,18909
2436861419,541388754,2038273361,4626
2436861419,699566649,791484949,12636
2436861419,1102701619,1866390537,9856
2436861419,121362095,435034557,7332
2505329369,716200748,717563373,2229
2505329369,588484579,997421972,6816
2505329369,1871551617,1820209579,20877
2505329369,2195306955,1535645354,1315
2505329369,2162783502,1990362512,26026
2505329369,614262159,1672400778,2210
2505329369,1997721133,1820038216,16691
2505329369,591999108,2354840402,561
2505329369,342303246,13118596,29751
2505329369,891513274,302902456,2433
2532639997,1787520302,1661795327,4276
2532639997,704132154,1640418512,1018
2532639997,1621084434,504766873,2719
2532639997,2345373927,1595420576,542
2532639997,1612535480,1825106286,2987
2532639997,2170435513,2381094991,10520
2532639997,2212479276,1136075273,1835
2532639997,647833203,270442595,2967
2532639997,457150226,2415540309,10729
2532639997,2065608072,185108707,489
