prime,A,x0,trials
153641,33616,152015,46
153641,97662,6855,48
153641,75821,18190,2
153641,101957,35524,68
153641,11096,112922,2
153641,138408,88390,12
153641,140577,211,50
153641,25555,81932,2
153641,114842,56782,67
153641,21382,117248,131
155851,104375,57529,196
155851,147305,110399,53
155851,96938,91440,659
155851,50716,154751,158
155851,150633,113930,5
155851,97726,132732,28
155851,104646,99783,59
155851,78349,95712,159
155851,8334,107345,47
155851,61167,31189,82
160669,128606,51910,27
160669,140160,121960,142
160669,22302,93024,44
160669,41293,143915,268
160669,48544,127665,239
160669,12164,41971,112
160669,49963,28865,55
160669,146510,41932,37
160669,83042,123252,41
160669,142249,33537,119
