prime,A,x0,trials
221393,148732,6231,16
221393,92597,23931,193
221393,212070,93175,70
221393,195407,183547,390
221393,13943,84837,266
221393,54200,114885,515
221393,203200,176814,180
221393,164113,17522,66
221393,22941,49087,174
221393,47477,109901,399
225859,221168,97809,157
225859,147986,147963,61
225859,128057,156639,141
225859,71358,65230,10
225859,92018,115309,14
225859,173414,126321,34
225859,24908,168851,189
225859,129066,13580,215
225859,120850,134996,300
225859,51096,43272,12
228113,3077,15627,696
228113,10502,106365,20
228113,43511,95640,34
228113,221688,72178,54
228113,119523,67464,5
228113,166784,69305,159
228113,54644,93670,8
228113,158942,67621,82
228113,16805,163764,150
228113,222921,227456,255
