prime,A,x0,trials
933671,746213,561154,309
933671,210157,600197,220
933671,812606,233703,42
933671,465744,152096,74
933671,28781,633034,247
933671,236173,10723,131
933671,807860,162088,151
933671,64841,892632,132
933671,559765,323034,252
933671,54784,61512,45
951331,900828,889822,9
951331,594627,763342,499
951331,789000,922214,313
951331,110824,669767,299
951331,481908,884486,156
951331,633537,118030,312
951331,529543,856112,218
951331,239484,487603,431
951331,167471,875043,144
951331,46615,689034,405
971153,491195,36011,31
971153,163045,101155,218
971153,327250,70369,34
971153,573165,28691,31
971153,150257,281742,176
971153,517568,725583,43
971153,215762,681572,775
971153,440823,701141,551
971153,798099,120611,889
971153,381787,344858,797
