Interval_Range,Triplet_ID,Prime_1,Prime_2,Prime_3
1000000000-1100000000,1,1019695427,1028082007,1058731963
1100000001-1210000001,2,1109586983,1162792987,1164597103
1210000002-1331000002,3,1233087067,1236948437,1276181201
1331000003-1464100003,4,1350278207,1351057739,1435770571
1464100004-1610510004,5,1520027279,1554560201,1564259677
1610510005-1771561005,6,1632233051,1724752559,1760848799
1771561006-1948717106,7,1793320093,1859850953,1911746021
1948717107-2143588817,8,1956118999,2041065113,2123417129
2143588818-2357947699,9,2169072341,2262200393,2282471203
2357947700-2593742470,10,2387388947,2465391811,2504203627
2593742471-2853116718,11,2822108459,2852216117,2852744339
2853116719-3138428390,12,2995463993,3022424417,3138015493
3138428391-3452271230,13,3329933891,3344428433,3402959137
3452271231-3797498354,14,3518022749,3703354573,3741398119
3797498355-4177248190,15,3830102987,4113312211,4136095783
4177248191-4594973010,16,4194861581,4255212133,4304284739
4594973011-5054470312,17,4635471101,4828331513,5048719037
5054470313-5559917344,18,5087853811,5298223363,5424962423
5559917345-6115909079,19,5915205599,5968935697,5994946877
6115909080-6727499988,20,6340597429,6585371987,6672128681
6727499989-7400249987,21,6879423769,7052450021,7182333883
7400249988-8140274986,22,7596002111,7664936911,7942087669
8140274987-8954302485,23,8332805123,8399021039,8414961389
8954302486-9849732734,24,9323598313,9571474747,9835021787
9849732735-9999999999,25,9947686841,9954455573,9972220001
