Interval_Range,Triplet_ID,Prime_1,Prime_2,Prime_3
100000000000-110000000000,1,101543609047,103339338527,107536938083
110000000001-121000000001,2,115277147633,117096994757,118605939323
121000000002-133100000002,3,123023516897,126682250117,129444294053
133100000003-146410000003,4,133504482757,134856864071,138478726541
146410000004-161051000004,5,151901905289,155946423949,161047329341
161051000005-177156100005,6,166672942567,167242329563,176004955921
177156100006-194871710006,7,178134058033,184231725091,185023864139
194871710007-214358881007,8,197133783037,204511283971,213632975779
214358881008-235794769108,9,214845367691,227831060011,228460643779
235794769109-259374246019,10,244724000707,252199486537,256140795257
259374246020-285311670622,11,270720917737,273992566483,274589337829
285311670623-313842837685,12,290002374133,295167777823,308658910837
313842837686-345227121454,13,314701707373,316438190983,319221834341
345227121455-379749833600,14,351978461839,357258512621,364401932087
379749833601-417724816961,15,396494080421,401150188591,401374824857
417724816962-459497298658,16,419220487969,432279559979,448635785753
459497298659-505447028524,17,463374840389,485673483623,497113357861
505447028525-555991731377,18,520894680041,526679950607,551076364607
555991731378-611590904515,19,561396132821,580386219769,594841067339
611590904516-672749994967,20,627797148479,633814435613,665289108851
672749994968-740024994464,21,686597513191,692013086591,693467426501
740024994465-814027493911,22,749958007969,759695866627,785739071437
814027493912-895430243303,23,831094472093,854429767531,872232854399
895430243304-984973267634,24,903794453323,917748141637,928519272451
984973267635-999999999999,25,985076359133,993565984787,999526447961
