Interval_Range,Triplet_ID,Prime_1,Prime_2,Prime_3
1000-1100,1,1051,1091,1097
1101-1211,2,1109,1151,1201
1212-1333,3,1213,1217,1307
1334-1467,4,1373,1409,1423
1468-1614,5,1471,1531,1553
1615-1776,6,1619,1709,1741
1777-1954,7,1787,1861,1873
1955-2150,8,2053,2083,2087
2151-2366,9,2213,2243,2357
2367-2603,10,2371,2389,2467
2604-2864,11,2659,2791,2833
2865-3151,12,3041,3119,3121
3152-3467,13,3203,3253,3391
3468-3814,14,3499,3571,3607
3815-4196,15,3929,4099,4153
4197-4616,16,4363,4373,4507
4617-5078,17,4861,4943,4999
5079-5586,18,5099,5209,5557
5587-6145,19,5683,5851,5981
6146-6760,20,6337,6577,6703
6761-7437,21,6947,7127,7229
7438-8181,22,7703,7829,8081
8182-9000,23,8467,8527,8783
9001-9901,24,9391,9677,9697
9902-9999,25,9923,9941,9967
