prime,A,x0,trials
394441517,61949256,91761601,1570
394441517,261425855,236292076,6587
394441517,334103652,314015875,1903
394441517,84759004,67379536,15008
394441517,148708855,135505858,2708
397208677,128570959,231876943,18146
397208677,71857240,310847699,677
397208677,391073716,374278515,1015
397208677,276028321,66447350,3401
397208677,47095836,146678791,7930
406564541,102025329,236039631,1285
406564541,354519867,8814046,729
406564541,197464937,143303070,8383
406564541,285369125,174306348,1685
406564541,78947557,223639621,9120
