prime,A,x0,trials
112119937,69868355,101110478,2358
112119937,93542674,45734433,1061
112119937,65073436,54928442,3645
112119937,49137793,87817104,227
112119937,86224125,20729774,495
113026723,54468576,70776486,66
113026723,83422174,71903099,2353
113026723,3905681,102595432,1745
113026723,3173678,21955925,469
113026723,35574426,11725311,3577
120926983,55094474,33617731,7
120926983,75530018,89574996,2922
120926983,90143190,26346116,243
120926983,13914403,52693028,178
120926983,96364756,106138776,1701
