prime,A,x0,trials
618992653,438985961,484345431,638
618992653,318484087,163396118,3460
618992653,399436410,419951418,10510
618992653,64534773,617257415,8110
618992653,35174747,495163898,5432
657773399,174232047,349180839,1008
657773399,277012018,543128697,9008
657773399,260808948,166041756,1393
657773399,366958876,128603062,5
657773399,317927744,94313499,4938
660930217,220100086,95188892,5674
660930217,59217206,391154551,15832
660930217,311532132,330945410,2500
660930217,175465098,328368449,14527
660930217,109619445,495340761,3142
