prime,A,x0,trials
121949189,93275114,113478642,3350
121949189,60005038,77397195,495
121949189,94668974,80323759,2735
121949189,65766635,102079186,389
121949189,30291424,11229205,2106
125539507,103463974,119750037,1336
125539507,74880191,76754414,5219
125539507,1376710,81541054,1212
125539507,5850767,10321794,408
125539507,8884937,36778633,879
130334821,87840513,80135964,1372
130334821,58018864,50294147,976
130334821,60872791,128707051,283
130334821,12326604,59582892,149
130334821,46404915,106513291,452
