Interval_ID,Start,End,Valid_Triplets,Rejections,Rejection_Rate
1,10000000,11000000,1,1,100.0
2,11000001,12100001,1,0,0.0
3,12100002,13310002,1,0,0.0
4,13310003,14641003,1,0,0.0
5,14641004,16105104,1,0,0.0
6,16105105,17715615,1,1,100.0
7,17715616,19487177,1,1,100.0
8,19487178,21435895,1,0,0.0
9,21435896,23579485,1,0,0.0
10,23579486,25937434,1,0,0.0
11,25937435,28531178,1,0,0.0
12,28531179,31384296,1,0,0.0
13,31384297,34522726,1,1,100.0
14,34522727,37974999,1,1,100.0
15,37975000,41772500,1,0,0.0
16,41772501,45949751,1,0,0.0
17,45949752,50544727,1,0,0.0
18,50544728,55599200,1,0,0.0
19,55599201,61159121,1,0,0.0
20,61159122,67275034,1,0,0.0
21,67275035,74002538,1,0,0.0
22,74002539,81402792,1,0,0.0
23,81402793,89543072,1,1,100.0
24,89543073,98497380,1,0,0.0
25,98497381,99999999,1,1,100.0
GLOBAL_SUMMARY,ALL,ALL,25,7,28.0
