Interval_Range,Triplet_ID,Prime_1,Prime_2,Prime_3
1000000-1100000,1,1033463,1041137,1062343
1100001-1210001,2,1179757,1190743,1207429
1210002-1331002,3,1235369,1244953,1288597
1331003-1464103,4,1346123,1375951,1388021
1464104-1610514,5,1536037,1536641,1608337
1610515-1771566,6,1614187,1626619,1696859
1771567-1948723,7,1826059,1863151,1933823
1948724-2143596,8,2007431,2021639,2070953
2143597-2357956,9,2161331,2191127,2265751
2357957-2593752,10,2410867,2441599,2571713
2593753-2853128,11,2596889,2754883,2841793
2853129-3138441,12,2949703,3027719,3115397
3138442-3452286,13,3296213,3352183,3396439
3452287-3797515,14,3549697,3672791,3675649
3797516-4177267,15,3810623,3919229,4071533
4177268-4594994,16,4263683,4271581,4521607
4594995-5054494,17,4639633,4713227,4835533
5054495-5559944,18,5142493,5198119,5497043
5559945-6115939,19,5696953,5976577,6109717
6115940-6727534,20,6179989,6243313,6604231
6727535-7400288,21,6740029,6973277,7052107
7400289-8140317,22,7884529,7933201,8048881
8140318-8954349,23,8197921,8671711,8716243
8954350-9849785,24,9005663,9328237,9772201
9849786-9999999,25,9866561,9869869,9960371
