prime,A,x0,trials,param_a_count,param_b_avg
1777,1573,189,17,3.0,61.01
1777,831,574,15,3.0,61.01
1777,3,1251,1,3.0,61.01
1777,1135,1491,7,3.0,61.01
1777,769,1202,17,3.0,61.01
1777,109,1455,5,3.0,61.01
1777,715,103,11,3.0,61.01
1777,313,1104,2,3.0,61.01
1777,568,1132,1,3.0,61.01
1777,938,867,13,3.0,61.01
1811,676,1117,11,3.0,56.43
1811,1768,390,7,3.0,56.43
1811,1100,394,7,3.0,56.43
1811,1625,1436,9,3.0,56.43
1811,270,533,2,3.0,56.43
1811,1062,204,8,3.0,56.43
1811,1181,1256,9,3.0,56.43
1811,186,692,3,3.0,56.43
1811,1053,542,8,3.0,56.43
1811,1525,360,10,3.0,56.43
1871,1623,1837,4,3.0,63.3
1871,1211,1389,9,3.0,63.3
1871,29,793,1,3.0,63.3
1871,607,14,5,3.0,63.3
1871,345,4,6,3.0,63.3
1871,564,29,3,3.0,63.3
1871,804,227,3,3.0,63.3
1871,1514,1523,2,3.0,63.3
1871,220,259,6,3.0,63.3
1871,1422,1488,6,3.0,63.3
