prime,A,x0,trials
4243,3587,1538,56
4243,958,2071,6
4243,147,1535,63
4243,1989,1791,6
4243,2294,1468,4
4243,1237,4150,1
4243,2289,2128,9
4243,197,981,4
4243,3903,1027,2
4243,4153,2552,2
4483,1540,3700,1
4483,1708,1781,31
4483,2113,2340,1
4483,2902,1006,21
4483,3718,1271,20
4483,588,1610,36
4483,3615,1757,12
4483,1161,4199,15
4483,2979,3752,2
4483,357,2089,1
4567,2242,1909,21
4567,1574,4555,3
4567,1831,4164,2
4567,835,1584,7
4567,4050,2518,28
4567,2056,133,13
4567,4177,1909,2
4567,397,3900,16
4567,3961,2611,7
4567,3745,448,2
