prime,A,x0,trials,param_a_count,param_b_avg
1249,15,957,10,2.0,62.98
1249,995,484,4,2.0,62.98
1249,58,970,33,2.0,62.98
1249,296,926,4,2.0,62.98
1249,138,995,11,2.0,62.98
1249,71,1153,13,2.0,62.98
1249,634,1143,6,2.0,62.98
1249,666,123,9,2.0,62.98
1249,995,51,14,2.0,62.98
1249,265,341,11,2.0,62.98
1277,343,1111,12,3.0,44.81
1277,142,814,1,3.0,44.81
1277,577,758,1,3.0,44.81
1277,213,248,4,3.0,44.81
1277,922,1179,6,3.0,44.81
1277,439,90,9,3.0,44.81
1277,1058,1059,14,3.0,44.81
1277,136,236,4,3.0,44.81
1277,642,641,5,3.0,44.81
1277,1072,1073,1,3.0,44.81
1303,740,50,11,2.0,64.09
1303,450,648,2,2.0,64.09
1303,397,133,3,2.0,64.09
1303,820,1168,9,2.0,64.09
1303,1186,602,26,2.0,64.09
1303,613,127,4,2.0,64.09
1303,434,1281,2,2.0,64.09
1303,266,1208,1,2.0,64.09
1303,657,597,11,2.0,64.09
1303,853,423,5,2.0,64.09
