prime,A,x0,trials
6199,1395,4785,17
6199,855,5411,12
6199,1548,587,11
6199,225,4239,17
6199,5793,4967,10
6199,4645,3364,128
6199,585,1197,17
6199,1598,5576,4
6199,819,2354,58
6199,4790,5116,23
6329,2270,4631,8
6329,1619,4736,42
6329,161,5462,51
6329,1788,1683,82
6329,1492,969,22
6329,3717,1259,6
6329,5101,5270,76
6329,4705,4595,1
6329,4705,85,2
6329,3898,5488,36
6421,4173,537,18
6421,5311,7,25
6421,4110,118,20
6421,1675,5033,49
6421,835,3007,38
6421,5608,4738,67
6421,3045,5229,35
6421,2961,4628,17
6421,156,6387,12
6421,1724,655,4
