Interval_Range,Triplet_ID,Prime_1,Prime_2,Prime_3
1000000000-1100000000,1,1006917677,1022249957,1093274081
1100000001-1210000001,2,1157496061,1162826701,1178546441
1210000002-1331000002,3,1264605283,1296777649,1298037577
1331000003-1464100003,4,1368139001,1380171173,1461534719
1464100004-1610510004,5,1464996887,1477371323,1494729757
1610510005-1771561005,6,1691439851,1759654357,1765425059
1771561006-1948717106,7,1836823433,1868772289,1898700361
1948717107-2143588817,8,1954315711,1996648931,2134158361
2143588818-2357947699,9,2244282497,2316446519,2325517609
2357947700-2593742470,10,2455932151,2522916313,2590464053
2593742471-2853116718,11,2632112459,2645521367,2647197703
2853116719-3138428390,12,2926600931,2951885723,3098748713
3138428391-3452271230,13,3184531751,3312724183,3321883013
3452271231-3797498354,14,3479358041,3648711491,3673476767
3797498355-4177248190,15,3934297417,3982230799,4119055331
4177248191-4594973010,16,4275600757,4437260917,4563901723
4594973011-5054470312,17,4627149673,4631548027,4750764479
5054470313-5559917344,18,5269735201,5399767403,5416309127
5559917345-6115909079,19,5615023247,5712206999,6094750111
6115909080-6727499988,20,6194426297,6442742039,6443068633
6727499989-7400249987,21,6776785199,6791214187,6855331823
7400249988-8140274986,22,7416235753,7433443943,7663535959
8140274987-8954302485,23,8519428529,8836760167,8914264967
8954302486-9849732734,24,9267873877,9577572547,9694888793
9849732735-9999999999,25,9855645721,9863084141,9961940459
