100303653077,11411550231,77402733763
101166153397,2142136664,5469521450
101938673917,52772482892,19875664884
102191611177,62145608875,32227861905
102331516103,31917602150,70056368313
102648147733,52816890429,57779660756
102719400659,62096586528,88681152619
102809736881,98286796450,32882410996
102992353423,34057827316,73489893006
103128172747,98865058324,39752033618
103435489189,19924887506,80985767824
103860252283,101190601819,31149781068
103860542021,35545838441,67780621090
104119298609,28127917530,70246936642
105138546991,12742462935,11060388712
105194274137,30826928023,68968790321
105207410369,18024345424,31718701516
105271850531,95894040106,101952028198
105539327573,66339109888,8834339057
105705739837,32710121336,73211105948
105897995143,99056636693,30833540233
106189501993,15349297332,22465603858
106472056861,30310757624,10402087247
107222341657,48145604803,37028973243
107319916073,36772332390,88234383020
107501757131,101707602472,100266468182
107561684353,46415110199,31856812939
109030415971,77579496714,84593459402
109575520391,101860258169,11459524600
110370320881,15708589825,44572459006
110384363261,109699787691,41406629176
110436898837,27760051135,86426903268
110721814849,43065741572,43423452930
110740559009,205532750,1969546143
110755497119,75225205774,19200890627
110924717807,67691988116,99135565408
111288162239,39996247869,44406888204
111421681697,8343770634,43623445204
111653546603,70589711605,76314342950
111913586357,64638984879,41808980506
112400257639,96315824265,47539599323
112483379653,24470275867,71083136188
112752101381,63397841705,15574790581
113088044831,52769342836,16141466949
113428450853,60764146848,31225115904
113529912673,63960153790,101391681378
113745792389,91458138415,112361708082
113937723997,111411050095,79030149237
113993726579,12798224833,34470822905
114137512171,103365539833,90326983359
114281524589,81528013800,4396504427
114619328401,30422779678,33540056518
114791875057,77614898918,669364488
114879009571,54602858977,57837309359
115350154279,98910221624,9520105658
115759219547,114130331222,85650205074
116102852297,84954670093,72626877945
117010764457,86237486740,86604515962
117065302583,94780129044,102836839248
117138734987,15818640305,43300176332
117587464121,108696387963,84264228369
117826714517,8147911447,64014017123
118466147441,39666802531,97794181318
118590619627,104484371908,11549885038
119145798929,34376274622,14502143792
119718117947,19378985598,66069879700
120222578363,7802088728,58751370843
120698988013,6980044460,110797205779
