Interval_ID,Start,End,Valid_Triplets,Rejections,Rejection_Rate
1,100,110,1,0,0.0
2,111,122,0,0,
3,123,135,0,0,
4,136,149,1,1,100.0
5,150,165,1,0,0.0
6,166,182,1,0,0.0
7,183,201,1,0,0.0
8,202,222,0,0,
9,223,245,1,1,100.0
10,246,270,1,0,0.0
11,271,298,1,0,0.0
12,299,328,1,0,0.0
13,329,361,1,0,0.0
14,362,398,1,0,0.0
15,399,438,1,0,0.0
16,439,482,1,0,0.0
17,483,531,1,0,0.0
18,532,585,1,0,0.0
19,586,644,1,0,0.0
20,645,709,1,0,0.0
21,710,781,1,0,0.0
22,782,860,1,0,0.0
23,861,947,1,0,0.0
24,948,999,1,0,0.0
GLOBAL_SUMMARY,ALL,ALL,21,2,9.52
