prime,A,x0,trials
82296520309,78335468960,81372570102,13598
82296520309,4877293380,36502409482,38283
82296520309,40649998109,72631948653,39961
82296520309,52047301648,17480167714,86563
82296520309,66710291768,2295838183,9558
89175426283,73240138832,27024837686,75689
89175426283,63319286873,16684682203,116995
89175426283,47617440473,64515934535,100329
89175426283,62179558660,40501809718,113838
89175426283,51457303219,32956920737,129658
89463568867,81989364108,78630658726,77694
89463568867,76379295887,18578304927,106920
89463568867,35811971864,8491335198,152694
89463568867,58427918345,34912456861,120259
89463568867,15146846739,59031467078,14685
