prime,A,x0,trials
40377516203,22420600512,2293781586,30333
40377516203,5179992373,12098062757,37068
40377516203,17614424163,13101311273,41520
40377516203,26633876900,15661053544,47890
40377516203,12934544234,2751377196,10435
41308885609,21628102110,37979404374,9142
41308885609,21235021716,35831644322,8420
41308885609,17496271689,12058953884,39534
41308885609,39850095719,39647108801,13968
41308885609,40462259091,37584424358,30810
41681815039,32611779360,16102936246,56477
41681815039,41660192850,5888462725,124185
41681815039,18729767932,21385762691,40484
41681815039,6884686083,27898234454,39411
41681815039,5767655413,33631178208,16661
