prime,A,x0,trials
9267873877,455138251,9030681519,10210
9267873877,1206645009,2836336719,17280
9267873877,645696001,2041908749,11867
9267873877,6082994107,1549714547,2524
9267873877,7965016471,9075190896,15260
9577572547,5410380878,666250835,19390
9577572547,9426323592,5147796078,3941
9577572547,8891329916,7013859056,2335
9577572547,6451601150,6446175,874
9577572547,4312505917,5098818978,17961
9694888793,3048007996,8637690458,44846
9694888793,6560724306,6634740779,15389
9694888793,7034169398,8319219125,2434
9694888793,2099619659,7383752461,70427
9694888793,7945964425,8178424909,26507
