Interval_Range,Triplet_ID,Prime_1,Prime_2,Prime_3
1000000-1100000,1,1013531,1063963,1074907
1100001-1210001,2,1114159,1204243,1208791
1210002-1331002,3,1271813,1310789,1315723
1331003-1464103,4,1356539,1361453,1392277
1464104-1610514,5,1473551,1600967,1609109
1610515-1771566,6,1646219,1663813,1745851
1771567-1948723,7,1824073,1881163,1936981
1948724-2143596,8,1960643,1966871,2056501
2143597-2357956,9,2172239,2234543,2347451
2357957-2593752,10,2387111,2429527,2521681
2593753-2853128,11,2651513,2737183,2792173
2853129-3138441,12,2902831,3001213,3075203
3138442-3452286,13,3180613,3237551,3315779
3452287-3797515,14,3599969,3641857,3737989
3797516-4177267,15,3842801,3880241,4138819
4177268-4594994,16,4259621,4259833,4316497
4594995-5054494,17,4665209,4711097,4953023
5054495-5559944,18,5259209,5426371,5441861
5559945-6115939,19,5695831,5921317,5956037
6115940-6727534,20,6395839,6403877,6524213
6727535-7400288,21,6907259,7143119,7379807
7400289-8140317,22,7407493,7805519,7975637
8140318-8954349,23,8213951,8360743,8362583
8954350-9849785,24,9282373,9496573,9761761
9849786-9999999,25,9863647,9889423,9915509
