Interval_Range,Triplet_ID,Prime_1,Prime_2,Prime_3
100000000-110000000,1,100664617,107693129,109609529
110000001-121000001,2,114575407,118129877,118225901
121000002-133100002,3,123442873,128949833,129715771
133100003-146410003,4,134293597,141203129,142311137
146410004-161051004,5,150232477,150799499,156326503
161051005-177156105,6,162610589,173570651,175257497
177156106-194871716,7,182313613,183301117,187753723
194871717-214358888,8,204443303,208427651,210843151
214358889-235794777,9,217500863,226817309,228827881
235794778-259374255,10,249627431,250370557,259024807
259374256-285311681,11,262708753,265023883,267163297
285311682-313842850,12,298895027,299222639,302880821
313842851-345227136,13,329122799,333371659,333659077
345227137-379749850,14,369874139,373729403,375411599
379749851-417724836,15,386575411,397296727,409771169
417724837-459497320,16,424845061,430749467,445740521
459497321-505447053,17,491003059,495402247,501199427
505447054-555991759,18,522262417,539229533,548706241
555991760-611590936,19,573202031,580597133,607124197
611590937-672750030,20,621939161,633653479,657005857
672750031-740025034,21,679203029,691602251,716706233
740025035-814027538,22,754105829,780557443,809336923
814027539-895430292,23,819562771,836299391,836901407
895430293-984973322,24,921452503,949531007,969326311
984973323-999999999,25,985549843,988896203,992158373
