Interval_Range,Triplet_ID,Prime_1,Prime_2,Prime_3
10000000-11000000,1,10027579,10283953,10819321
11000001-12100001,2,11281511,11716063,11743553
12100002-13310002,3,12521797,12773381,13120183
13310003-14641003,4,13343321,13457239,14512229
14641004-16105104,5,14923177,15923911,16096753
16105105-17715615,6,16491763,17558083,17632913
17715616-19487177,7,18249563,18455399,18662717
19487178-21435895,8,20957707,21051029,21258437
21435896-23579485,9,21786607,22181989,22507637
23579486-25937434,10,23714239,24354193,24880171
25937435-28531178,11,26304793,26505331,27769081
28531179-31384296,12,29118281,30747571,30833707
31384297-34522726,13,32256101,32416259,33385783
34522727-37974999,14,35013079,36388739,36405841
37975000-41772500,15,38212519,40712597,41236681
41772501-45949751,16,43727287,44992229,45457117
45949752-50544727,17,46648543,47786719,49437007
50544728-55599200,18,52468739,52507073,52606513
55599201-61159121,19,56631299,58944539,60998851
61159122-67275034,20,63247111,64102609,67197203
67275035-74002538,21,68091521,69221393,71555117
74002539-81402792,22,79879133,80604527,80975767
81402793-89543072,23,82842691,85552237,85886303
89543073-98497380,24,91095779,93230801,97585091
98497381-99999999,25,98774089,99279041,99592109
