Interval_ID,Start,End,Valid_Triplets,Rejections,Rejection_Rate
1,100000,110000,1,0,0.0
2,110001,121001,1,0,0.0
3,121002,133102,1,1,100.0
4,133103,146413,1,0,0.0
5,146414,161055,1,0,0.0
6,161056,177161,1,1,100.0
7,177162,194878,1,0,0.0
8,194879,214366,1,0,0.0
9,214367,235803,1,0,0.0
10,235804,259384,1,0,0.0
11,259385,285323,1,0,0.0
12,285324,313856,1,1,100.0
13,313857,345242,1,0,0.0
14,345243,379767,1,0,0.0
15,379768,417744,1,0,0.0
16,417745,459519,1,0,0.0
17,459520,505472,1,0,0.0
18,505473,556020,1,0,0.0
19,556021,611623,1,0,0.0
20,611624,672786,1,0,0.0
21,672787,740065,1,1,100.0
22,740066,814072,1,0,0.0
23,814073,895480,1,0,0.0
24,895481,985029,1,0,0.0
25,985030,999999,1,1,100.0
GLOBAL_SUMMARY,ALL,ALL,25,5,20.0
