prime,A,x0,trials,param_a_count,class_number
1019357,568118,970479,135,2,1038
1019357,894222,114578,87,2,432
1019357,937302,952313,71,2,1038
1019357,873893,412054,827,2,1038
1019357,897254,898552,151,2,432
1019357,589915,88253,307,2,1038
1019357,2262,195043,64,2,1038
1019357,167119,726486,376,2,1038
1019357,511596,411211,156,2,432
1020683,650334,444819,85,2,691
1020683,968504,935607,710,2,691
1020683,97719,130525,50,2,691
1020683,889365,865960,2,2,691
1020683,809841,587349,376,2,691
1020683,62776,57146,82,2,691
1020683,138000,928141,502,2,691
1020683,603243,432335,305,2,691
1020683,215841,68981,308,2,691
1020683,188641,895549,159,2,691
1020683,855468,560034,290,2,691
1020683,893739,760497,61,2,691
1020683,3901,639370,148,2,691
1020683,957374,210039,82,2,691
1020683,56746,571501,740,2,691
1020683,278809,28772,572,2,691
1020683,281216,380666,455,2,691
1020683,465000,892612,1,2,691
1020683,969616,870889,86,2,691
1020683,180255,874244,43,2,266
1021429,661593,610928,610,2,576
1021429,377030,198413,61,2,448
1021429,671402,588763,46,2,576
1021429,493737,756136,86,2,576
1021429,868705,844316,1852,2,576
1021429,225897,495180,366,2,576
1021429,913644,208615,597,2,576
1021429,61568,386967,21,2,448
1021429,353280,70973,204,2,576
1021429,839397,775426,265,2,448
1021429,110083,304524,109,2,448
1021429,452154,518325,649,2,576
1021429,162997,970758,459,2,576
1021429,193796,712457,198,2,576
1021429,101635,239191,173,2,576
1021429,1532,659428,420,2,448
1021429,535661,203506,4,2,448
1021429,282628,779109,43,2,576
1021429,535318,838421,324,2,576
1021429,557404,818864,215,2,576
1021907,113762,779134,814,2,384
1021907,337179,181649,1148,2,85
1021907,471005,549273,1260,2,85
1021907,385802,49702,873,2,85
1021907,931215,231810,73,2,85
1021907,870780,899769,245,2,384
1021907,440470,159923,806,2,384
1021907,962285,330093,859,2,384
1021907,1021458,361580,1612,2,384
1021907,807445,411422,994,2,384
1021907,67501,415632,1974,2,384
1021907,875732,720723,108,2,85
1021907,737529,280649,757,2,384
1021907,892120,755916,1294,2,85
1021907,646346,687021,43,2,85
1021907,459631,940034,1941,2,384
1021907,42182,124760,837,2,85
1021907,32069,980850,348,2,384
1021907,44578,651857,502,2,384
1021907,146175,985164,137,2,85
1022611,614103,422045,945,2,448
1022611,860123,337970,5,2,448
1022611,938824,194850,266,2,420
1022611,521234,430322,555,2,448
1022611,424082,612001,484,2,420
1022611,958028,643534,137,2,448
1022611,207733,44259,262,2,448
1022611,890229,866100,417,2,448
1022611,760490,238357,543,2,448
1022611,1011801,287754,30,2,448
1022611,222653,643149,123,2,448
1022611,533775,967597,357,2,448
1022611,41660,742395,590,2,448
1022611,111514,611759,64,2,420
1022611,30099,320420,48,2,420
1022611,701120,697133,122,2,448
1022611,375756,184827,256,2,448
1022611,933169,910286,27,2,448
1022611,308266,365608,36,2,420
1022611,517514,655859,267,2,448
1023313,573335,816106,236,2,544
1023313,573231,704871,355,2,544
1023313,228624,419517,599,2,208
1023313,288627,413444,533,2,544
1023313,450518,191457,70,2,544
1023313,464869,868627,101,2,208
1023313,809230,736650,156,2,544
1023313,394870,22541,22,2,208
1023313,375657,101860,483,2,544
1023313,989227,816915,671,2,544
1023313,993935,637066,630,2,544
1023313,322353,941802,1059,2,208
1023313,1018850,821408,544,2,544
1023313,375657,857442,341,2,544
1023313,921460,523646,506,2,544
1023313,735037,760794,697,2,544
1023313,871975,616360,237,2,544
1023313,473586,813975,74,2,544
1023313,130172,209724,718,2,544
1023313,548406,976019,108,2,544
1024379,373362,41092,35,2,761
1024379,787449,388535,399,2,761
1024379,672804,161289,221,2,761
1024379,270352,198324,55,2,761
1024379,551381,157389,92,2,632
1024379,247128,918587,76,2,761
1024379,942359,415975,149,2,761
1024379,378557,858930,68,2,761
