Interval_Range,Triplet_ID,Prime_1,Prime_2,Prime_3
10000-11000,1,10687,10859,10973
11001-12101,2,11083,11117,12049
12102-13312,3,12479,13103,13109
13313-14644,4,13751,14243,14419
14645-16109,5,15013,15061,15559
16110-17721,6,17209,17401,17483
17722-19494,7,18517,18757,18797
19495-21444,8,20399,20521,21211
21445-23589,9,21481,22039,22853
23590-25949,10,25163,25243,25453
25950-28545,11,26777,27179,27329
28546-31400,12,29401,29789,29819
31401-34541,13,32633,33199,34253
34542-37996,14,35837,36061,36899
37997-41796,15,38561,39791,41221
41797-45976,16,43613,43649,45817
45977-50574,17,46237,46559,48647
50575-55632,18,51721,52813,54443
55633-61196,19,58129,58711,59513
61197-67316,20,62723,64303,64747
67317-74048,21,68071,69427,71809
74049-81453,22,74759,79393,81019
81454-89599,23,81769,85091,85931
89600-98560,24,90127,93487,96847
98561-99999,25,98597,98621,99089
