Interval_Range,Triplet_ID,Prime_1,Prime_2,Prime_3
1000000000000-1100000000000,1,1021737180949,1042505371289,1063739518249
1100000000001-1210000000001,2,1168294609511,1192480469797,1195539455879
1210000000002-1331000000002,3,1223763828223,1247444121523,1308448904969
1331000000003-1464100000003,4,1370908736101,1435493818079,1463858137919
1464100000004-1610510000004,5,1470969029249,1472453398861,1548654572629
1610510000005-1771561000005,6,1626979905379,1639494674173,1663021975453
1771561000006-1948717100006,7,1864651630271,1911984025199,1929124613989
1948717100007-2143588810007,8,2105150401747,2125663091999,2143539091847
2143588810008-2357947691008,9,2205316442129,2279043560939,2345023995719
2357947691009-2593742460109,10,2381466604667,2569580400689,2573791923187
2593742460110-2853116706121,11,2640073494299,2836331528741,2841764923421
2853116706122-3138428376734,12,2977747744913,3008348007227,3107348937733
3138428376735-3452271214408,13,3209130605041,3259171832221,3422815391003
3452271214409-3797498335849,14,3468823111543,3533624026021,3679700728477
3797498335850-4177248169435,15,3841003311037,3967900450699,4090732087859
4177248169436-4594972986379,16,4213893594217,4324995881821,4465096161257
4594972986380-5054470285018,17,4876029857759,4926902561947,5012542653061
5054470285019-5559917313520,18,5245998359831,5437692457831,5514078820889
5559917313521-6115909044873,19,5649122429191,5854804406263,5954022238757
6115909044874-6727499949361,20,6325311548069,6462779265763,6464373171769
6727499949362-7400249944298,21,7182591775727,7186209801373,7196168576813
7400249944299-8140274938728,22,7969101739043,7990296410909,8085297659893
8140274938729-8954302432601,23,8316099140123,8827783297211,8860050437417
8954302432602-9849732675862,24,9005371478773,9009751131929,9318946929521
9849732675863-9999999999999,25,9890464948943,9893938276357,9944293232011
