Interval_ID,Start,End,Valid_Triplets,Rejections,Rejection_Rate
1,100000000000,110000000000,1,0,0.0
2,110000000001,121000000001,1,1,100.0
3,121000000002,133100000002,1,0,0.0
4,133100000003,146410000003,1,0,0.0
5,146410000004,161051000004,1,0,0.0
6,161051000005,177156100005,1,1,100.0
7,177156100006,194871710006,1,0,0.0
8,194871710007,214358881007,1,0,0.0
9,214358881008,235794769108,1,1,100.0
10,235794769109,259374246019,1,1,100.0
11,259374246020,285311670622,1,0,0.0
12,285311670623,313842837685,1,0,0.0
13,313842837686,345227121454,1,0,0.0
14,345227121455,379749833600,1,1,100.0
15,379749833601,417724816961,1,0,0.0
16,417724816962,459497298658,1,0,0.0
17,459497298659,505447028524,1,1,100.0
18,505447028525,555991731377,1,0,0.0
19,555991731378,611590904515,1,0,0.0
20,611590904516,672749994967,1,0,0.0
21,672749994968,740024994464,1,0,0.0
22,740024994465,814027493911,1,0,0.0
23,814027493912,895430243303,1,0,0.0
24,895430243304,984973267634,1,0,0.0
25,984973267635,999999999999,1,0,0.0
GLOBAL_SUMMARY,ALL,ALL,25,6,24.0
