Interval_Range,Triplet_ID,Prime_1,Prime_2,Prime_3
10000000-11000000,1,10276589,10376503,10467797
11000001-12100001,2,11105543,11261071,11976253
12100002-13310002,3,12241477,12407243,12768233
13310003-14641003,4,13569203,13997993,14209099
14641004-16105104,5,14839609,14844241,15422567
16105105-17715615,6,16555601,16870433,17611051
17715616-19487177,7,18516779,18524969,18840629
19487178-21435895,8,19922857,20696911,20793313
21435896-23579485,9,21499837,22252757,22839637
23579486-25937434,10,23604473,24804217,25575799
25937435-28531178,11,27393589,27599599,27757069
28531179-31384296,12,29403007,29956457,30961939
31384297-34522726,13,33161551,33162161,34084933
34522727-37974999,14,35689531,36669013,36756371
37975000-41772500,15,38463583,38622209,40275343
41772501-45949751,16,41889317,41899877,45551069
45949752-50544727,17,46008121,46099553,50024089
50544728-55599200,18,50689049,53469037,54928039
55599201-61159121,19,57895043,59977237,60360959
61159122-67275034,20,63286057,65202931,65616361
67275035-74002538,21,68969317,72018251,73435211
74002539-81402792,22,74286869,75207563,79071383
81402793-89543072,23,82591501,84566903,87117659
89543073-98497380,24,90767827,91930357,93824767
98497381-99999999,25,98646349,98683811,99941939
