prime,A,x0,trials
32633,17202,19942,14
32633,5442,22178,5
32633,6399,9328,39
32633,4871,11344,4
32633,12689,23625,5
32633,16898,2362,5
32633,26743,30719,66
32633,16646,26196,36
32633,27638,25956,7
32633,32338,21601,89
33199,8642,12089,24
33199,4360,21980,3
33199,20969,8396,32
33199,18004,15865,24
33199,19914,2191,50
33199,17065,5351,61
33199,7453,26585,43
33199,9672,21637,6
33199,32179,20807,10
33199,29653,6243,16
34253,28111,32930,19
34253,30309,18613,20
34253,15217,29925,49
34253,26270,20420,78
34253,26892,14286,53
34253,24322,27033,165
34253,2458,7677,54
34253,31795,2910,56
34253,7911,27058,71
34253,25004,20903,40
