prime,A,x0,trials
90127,31290,4511,12
90127,20885,23770,11
90127,44552,57889,53
90127,53847,39698,159
90127,67082,4595,34
90127,50713,84221,24
90127,82780,76942,7
90127,46670,11759,40
90127,80000,48861,17
90127,52784,73756,9
93487,78269,90574,62
93487,1868,34470,34
93487,6020,20161,150
93487,55648,24743,169
93487,37504,46361,15
93487,36543,81076,18
93487,46018,91610,32
93487,37504,51076,146
93487,38028,16244,148
93487,72310,79003,19
96847,20923,14536,68
96847,46467,47936,191
96847,95242,85623,27
96847,9631,2068,208
96847,56694,81562,37
96847,68907,25669,45
96847,2657,18399,145
96847,28781,41729,106
96847,47716,78304,13
96847,33732,20847,74
