Interval_ID,Start,End,Valid_Triplets,Rejections,Rejection_Rate
1,10000000000,11000000000,1,0,0.0
2,11000000001,12100000001,1,0,0.0
3,12100000002,13310000002,1,0,0.0
4,13310000003,14641000003,1,0,0.0
5,14641000004,16105100004,1,0,0.0
6,16105100005,17715610005,1,1,100.0
7,17715610006,19487171006,1,0,0.0
8,19487171007,21435888107,1,0,0.0
9,21435888108,23579476918,1,0,0.0
10,23579476919,25937424610,1,0,0.0
11,25937424611,28531167072,1,0,0.0
12,28531167073,31384283780,1,0,0.0
13,31384283781,34522712159,1,0,0.0
14,34522712160,37974983376,1,0,0.0
15,37974983377,41772481714,1,0,0.0
16,41772481715,45949729886,1,0,0.0
17,45949729887,50544702875,1,0,0.0
18,50544702876,55599173163,1,1,100.0
19,55599173164,61159090480,1,0,0.0
20,61159090481,67274999529,1,0,0.0
21,67274999530,74002499483,1,0,0.0
22,74002499484,81402749432,1,0,0.0
23,81402749433,89543024376,1,0,0.0
24,89543024377,98497326814,1,0,0.0
25,98497326815,99999999999,1,0,0.0
GLOBAL_SUMMARY,ALL,ALL,25,2,8.0
