prime,A,x0,trials
50968451,2520978,8936669,3428
4004677,3119860,1759583,2540
9023683,6013171,4904912,210
361625851,251131855,204318860,10723
7097939,5759173,643707,461
619071511,501864410,352607359,10215
1165979021,857321613,393560397,15753
6012865447,2805497341,540082277,294802
8167683649,4389423103,3838503534,45183
90818757167,29503951296,2034736247,38617
838552067,269797304,344489423,3929
6845549,1139604,5706461,3547
7830157,7333956,4107181,3099
756711511,193715954,661748571,1613
7151569,3823419,4447507,2173
3056213,2158729,218202,2763
1822391,1279054,1675831,830
4241167523,179961617,369922589,74381
4653511,1127102,1606690,396
79163131,30587365,4576900,1910
3160606681,94098753,657637356,85734
9536399,8162210,8999761,132
9580935491,6897392004,6633872047,11870
96893171,96425072,79079635,11474
9416811449,4105233655,6060144694,148797
65881002571,31477866644,63971284899,105745
333805369,122836818,213880817,9365
80340461,53225152,29328541,12966
7610843,6825928,2781530,1506
86682705149,66090009951,27393067415,483177
80308979473,44472788468,20954031194,1025500
8571854449,3111845895,5518959550,67666
4096151,3811837,1338854,1736
2387023,16537,951024,686
329682569,5755997,194258381,29030
44857499759,8183482416,17946037066,64875
9733447,4041447,9147593,1335
46132661,26863006,23785405,1645
8654467,7219469,3866331,821
98192309,93521178,41551320,6874
39452977,39328853,3177706,145
3689113,1401018,825054,226
1254131,1083636,1238265,1956
3972901,682273,3839300,468
39295601369,28106309592,37107663837,148288
47108348303,46745588314,12535733272,1408
706086097,411762485,324441085,39537
6108841439,5871256260,1209676568,431345
3198067,1018737,1503570,270
258274151,103310740,31995452,2302
9641592899,9628647716,7697345140,6726
4801148981,2683806967,18389199,45101
94208893,41558300,75946481,535
928382621,585005360,50193231,19549
9091491973,3223176988,5447553063,23704
9199661,1938292,612895,6500
11379441209,10009846617,7303954127,53223
207373843,101052052,74000183,3344
815385521,647675025,121715543,12581
89694379,2381100,62619437,6665
6474827,4421486,4039482,516
2803385071,1214579442,672786601,54084
658876637,303317336,39560400,4320
933807377,15018386,323785227,9402
7709291,5387634,4147095,759
5193153661,559857440,1687341255,2886
9931369403,9410789304,8322641123,397811
5340151,1665594,806500,531
57751258339,11737229534,41782906005,450497
19190611541,3242436416,18504559474,199478
3648289,487359,1561789,297
3672563,1996858,914728,209
68504377,37539821,63753386,19257
2771151137,2449355806,2307856508,26838
11887300939,3415216835,222874697,37218
69918853,7380128,36354087,22055
8097007,2965791,5779946,2409
96651683,39471004,20475866,874
298938499,245042161,269064478,57297
78286168201,50377412942,75426669828,412183
1652377,1286157,360959,1275
7055263,2535328,1014211,2174
9191867,3839557,1307315,1302
1096657453,30072897,772764240,222258
7226077,2332007,4042787,805
3316122419,2757979317,2288426904,12235
555208271,473966107,411924904,5419
8116262233,5682821262,6259799868,20717
4957921,4182359,1413711,2895
2239361,1692202,1509998,575
324160399,166141769,10283012,7796
15594024731,9799657226,4039882591,143093
55599881,21160230,18840785,9035
