2903909,355161,1182588
979485557,439764002,206901937
5726577293,37289417,2592073033
236733083,69166836,125847056
14644109,7518637,4064766
10976273587,1160977309,10222620669
180272249,102786535,172015789
88061154611,20168119744,70628011949
61142357053,51193130163,50064327354
4526507,943994,4381473
34668467,33423585,32955041
1203493,1119960,640838
54053401,19772232,17577813
373598861,336083935,366958841
7722373,23402,181965
401379607,198042813,148670917
682690237,17041354,253559678
505543813,367506060,70055397
61523191,10501497,61179816
350679947,193737598,172847405
9859783,9514087,4339525
8376799,4074165,6214015
1417255729,1080311284,995413752
64105213,44597998,25581746
950603237,169996378,792698634
17390516207,9780648319,5082519427
940705121,773920273,542196931
6478220417,3051465671,2025549862
47273259017,38090842280,44528631339
45880691,26626524,21572832
8488096823,3385441163,4353464006
9604956197,6464892260,9023110262
190213019,22459044,189800345
58910053,9463044,26428847
2298833,1437844,1571811
23339513,4511970,22233657
31233647693,3943911266,24401288108
4717289,3795654,1608422
3134052433,1609582662,402311779
9261383423,7485802320,6434597348
4006747627,3777390971,1751600096
74036604989,21293007651,26046839576
8118139,6159428,7608394
7658489303,7596656632,5108491330
4804520711,3251402012,663701923
7523573,2006918,2377785
81804661,51755918,81144239
63433794161,57518469305,36874797444
439492799,286446456,202575396
9364463,2883600,7678446
6485989183,1647771325,1649163667
9159649,2103533,147813
427780399,106321477,395585651
824897237,350297698,379783989
3171583,248888,748686
31686761,5569704,19635660
2186011,871196,1190694
10438541,2652406,691882
3356263,3109089,1573692
7466191913,2468558461,1755661302
8396497,7524545,1669645
2865684061,2460679750,2713303442
36814823,21115629,35608634
8999267593,691012915,6720677094
3295283653,7967538,427773749
5601613,639519,5348933
3566715847,798386856,3441225733
13264600919,10932244804,2666464638
72682607377,54163389967,38787172497
83862151,49481839,71660165
2453449,2198725,1005281
9108893917,7955490410,3581248933
738474911,32246537,648811581
7395861401,1139947636,3618989661
1749168647,576040211,204844889
9817121,6546626,2345467
7197919591,3352835733,3509813125
5125273,5001521,3879324
521795291,283269234,287744037
89627704027,48606203304,50847820093
3294299,1299798,2768249
58168042399,34143870515,24649834590
205145093,29119677,112102272
17822942471,6555553859,2265534475
4208261,1052809,1443674
17835753773,6115048967,6552227456
768727451,93332104,389407505
4854255073,1980973933,151957025
247697717,96678991,99380093
9518497273,8183332168,3946022222
9695341,3765363,2963995
11717949769,541229216,1603946901
4213567,1154084,2215145
6688909,429153,2603296
17788723991,12866774914,8237570699
54629461,42656409,51992479
32747959,14134159,2830081
72425520719,32398978755,48010572041
4499207,1355691,3160061
8613433831,3241583716,214418039
