prime,A,x0,trials,param_a_count,param_b_avg
4678049,3252791,4655593,493,2.0,3291.23
4678049,1674275,4467144,2309,2.0,3291.23
4678049,2978459,1967026,645,2.0,3291.23
4678049,4311113,2401586,261,2.0,3291.23
4678049,1084325,2439951,1112,2.0,3291.23
4678049,1664112,868300,1161,2.0,3291.23
4678049,290303,4374980,80,2.0,3291.23
4678049,2503803,304168,118,2.0,3291.23
4678049,1872029,3494067,234,2.0,3291.23
4678049,1407475,2310371,125,2.0,3291.23
4689109,2777773,454800,12,2.0,3537.78
4689109,1871000,1266789,508,2.0,3537.78
4689109,1323984,4215789,747,2.0,3537.78
4689109,4009723,4320846,358,2.0,3537.78
4689109,2515275,4274224,452,2.0,3537.78
4689109,1575889,3462102,451,2.0,3537.78
4689109,1820859,2340402,90,2.0,3537.78
4689109,1717085,1800473,847,2.0,3537.78
4689109,2742577,3669410,71,2.0,3537.78
4689109,4307029,4541155,1309,2.0,3537.78
4735697,1332914,783630,43,2.0,3520.69
4735697,4626822,3628236,227,2.0,3520.69
4735697,4443598,4003319,6,2.0,3520.69
4735697,4304032,3929596,1144,2.0,3520.69
4735697,31281,718078,78,2.0,3520.69
4735697,1272102,1214285,685,2.0,3520.69
4735697,891581,2769203,408,2.0,3520.69
4735697,554185,3386937,479,2.0,3520.69
4735697,4653473,337418,5,2.0,3520.69
4735697,4383441,3170333,496,2.0,3520.69
