Interval_ID,Start,End,Valid_Triplets,Rejections,Rejection_Rate
1,1000000,1100000,1,0,0.0
2,1100001,1210001,1,0,0.0
3,1210002,1331002,1,0,0.0
4,1331003,1464103,1,0,0.0
5,1464104,1610514,1,0,0.0
6,1610515,1771566,1,0,0.0
7,1771567,1948723,1,1,100.0
8,1948724,2143596,1,0,0.0
9,2143597,2357956,1,0,0.0
10,2357957,2593752,1,0,0.0
11,2593753,2853128,1,0,0.0
12,2853129,3138441,1,0,0.0
13,3138442,3452286,1,0,0.0
14,3452287,3797515,1,0,0.0
15,3797516,4177267,1,0,0.0
16,4177268,4594994,1,0,0.0
17,4594995,5054494,1,0,0.0
18,5054495,5559944,1,0,0.0
19,5559945,6115939,1,1,100.0
20,6115940,6727534,1,0,0.0
21,6727535,7400288,1,0,0.0
22,7400289,8140317,1,1,100.0
23,8140318,8954349,1,0,0.0
24,8954350,9849785,1,0,0.0
25,9849786,9999999,1,1,100.0
GLOBAL_SUMMARY,ALL,ALL,25,4,16.0
