Interval_Range,Triplet_ID,Prime_1,Prime_2,Prime_3
100-110,1,101,103,109
136-149,2,137,139,149
150-165,3,151,157,163
166-182,4,167,173,179
183-201,5,191,193,197
223-245,6,223,229,233
246-270,7,251,263,269
271-298,8,271,283,293
299-328,9,307,311,317
329-361,10,331,347,359
362-398,11,373,389,397
399-438,12,401,409,421
439-482,13,443,457,479
483-531,14,487,491,499
532-585,15,541,547,557
586-644,16,593,601,617
645-709,17,661,677,709
710-781,18,719,769,773
782-860,19,811,823,827
861-947,20,887,911,919
948-999,21,967,971,977
