prime,A,x0,trials
985549843,455313647,305321803,808
985549843,44126445,640954712,6570
985549843,838415921,609331729,131
985549843,628457107,363796509,8750
985549843,605356570,38081690,1594
985549843,573797954,838475047,2938
985549843,960210421,870733114,3394
985549843,257948597,606585828,7368
985549843,951737478,586798928,3099
985549843,533981427,248155566,6304
988896203,901510258,482003812,93
988896203,539040300,572042058,3260
988896203,130332857,699308313,1121
988896203,874651876,737750910,379
988896203,48068908,123386809,4033
988896203,34904102,45844014,1511
988896203,269336154,809421442,3920
988896203,881052285,23421326,1891
988896203,182022239,767538340,1235
988896203,533223993,343347687,2943
992158373,710422598,408865660,23122
992158373,370825816,284851392,2960
992158373,374016848,990592768,5900
992158373,587438670,868040386,2729
992158373,725977501,714507705,29
992158373,958070091,75121878,4299
992158373,769780719,633139904,15522
992158373,782657576,975665596,1414
992158373,496060926,393179783,278
992158373,511457226,204780563,11800
