prime,A,x0,trials
386575411,188348725,12700798,848
386575411,359947596,173581547,4388
386575411,273623303,306178342,5865
386575411,366497815,254264589,6697
386575411,326932694,309491480,9825
386575411,238674055,286826561,2537
386575411,83299252,67835722,3542
386575411,79605708,38995219,2772
386575411,229554929,45518883,833
386575411,279988370,364131246,168
397296727,168650825,342362018,16985
397296727,26261465,39210089,3809
397296727,120083488,164928626,896
397296727,286867357,38866068,1514
397296727,36336067,44254246,404
397296727,147026800,305524495,304
397296727,191283521,343658344,10831
397296727,290798887,249316741,11650
397296727,280543196,335522012,2605
397296727,336718887,109425185,2393
409771169,267207106,170413818,2030
409771169,323685263,19057360,6098
409771169,146589850,124906593,9043
409771169,341657201,184796976,6959
409771169,300448840,169386848,2061
409771169,61100624,26031480,20965
409771169,347057894,199149206,4947
409771169,201022207,393917070,8061
409771169,334278637,285024722,809
409771169,73877061,169888285,7009
