prime,A,x0,trials
679203029,84267661,394510550,1514
679203029,32110844,277144944,621
679203029,289454169,446795527,763
679203029,199435120,39275449,1088
679203029,52943914,85248219,6133
679203029,671191398,66396027,2037
679203029,381652465,627683740,2030
679203029,348633475,626013729,175
679203029,319364510,560335618,11553
679203029,80972536,207281754,6066
691602251,429440540,64029738,5657
691602251,71977356,356608959,14770
691602251,305212607,355623845,872
691602251,281492883,106783598,6959
691602251,255096047,632744990,3064
691602251,450874632,324647206,33517
691602251,213964303,315026558,9180
691602251,363132921,184727616,5718
691602251,432431890,269357302,2905
691602251,287278781,250555406,3968
716706233,300592285,204814726,2041
716706233,364153154,247753651,8032
716706233,330537467,246369824,3680
716706233,175390041,26835327,6295
716706233,453707987,256361757,5801
716706233,530315275,237717782,452
716706233,500690762,545136206,344
716706233,410748114,213042338,313
716706233,605894677,240722937,9343
716706233,95144438,602822774,2844
