prime,A,x0,trials,param_a_count,param_b_avg
134812081,103614647,107040839,4830,3.0,17612.02
134812081,19423856,34719533,1389,3.0,17612.02
134812081,5714412,60796551,3473,3.0,17612.02
134812081,78871872,99109248,34,3.0,17612.02
134812081,38791134,69273483,332,3.0,17612.02
134812081,36267341,115703632,1005,3.0,17612.02
134812081,60562198,28374300,2591,3.0,17612.02
134812081,29477056,126879146,495,3.0,17612.02
134812081,116608923,38794689,402,3.0,17612.02
134812081,38247295,108555785,5043,3.0,17612.02
138200567,54208266,3421397,2598,3.0,18972.0
138200567,5468600,77411212,1825,3.0,18972.0
138200567,28699404,86524923,2059,3.0,18972.0
138200567,40764387,80736183,1085,3.0,18972.0
138200567,6512496,50455121,769,3.0,18972.0
138200567,76931518,64501118,1433,3.0,18972.0
138200567,129179071,88476050,994,3.0,18972.0
138200567,127338274,22918551,3068,3.0,18972.0
138200567,36684728,74709237,246,3.0,18972.0
138200567,6755400,89702985,160,3.0,18972.0
143092099,36788927,125200744,12056,3.0,17907.07
143092099,2553621,99464520,1637,3.0,17907.07
143092099,67649092,45790061,3931,3.0,17907.07
143092099,122463773,98112590,8939,3.0,17907.07
143092099,130351581,5232559,10140,3.0,17907.07
143092099,70935575,14199217,719,3.0,17907.07
143092099,124363022,132535184,389,3.0,17907.07
143092099,76188154,74632180,975,3.0,17907.07
143092099,112926460,77681427,213,3.0,17907.07
143092099,29596144,2206519,680,3.0,17907.07
