prime,A,x0,trials,param_a_count,param_b_avg
645016103,132767207,43396273,1767,3.0,40518.47
645016103,504515311,606181495,902,3.0,40518.47
645016103,409613591,385516991,9127,3.0,40518.47
645016103,130232238,190593359,3277,3.0,40518.47
645016103,327773079,325252817,3746,3.0,40518.47
645016103,39958214,519236996,7494,3.0,40518.47
645016103,228273921,640130143,7438,3.0,40518.47
645016103,486895355,7535183,2597,3.0,40518.47
645016103,597640227,375374034,14929,3.0,40518.47
645016103,52129324,13359907,368,3.0,40518.47
660401479,281822340,128283689,8518,3.0,43123.9
660401479,410449117,477026707,2147,3.0,43123.9
660401479,82581559,312614794,4162,3.0,43123.9
660401479,50132893,440721565,295,3.0,43123.9
660401479,201998908,118006121,637,3.0,43123.9
660401479,293603292,378289620,7399,3.0,43123.9
660401479,224162578,441080907,3131,3.0,43123.9
660401479,337848241,128404997,4109,3.0,43123.9
660401479,62759510,159714641,6057,3.0,43123.9
660401479,560735677,584687585,3624,3.0,43123.9
666733367,490983087,584696986,6523,3.0,43681.38
666733367,393576461,251031136,1210,3.0,43681.38
666733367,45181990,648133017,1876,3.0,43681.38
666733367,534045405,263543468,1931,3.0,43681.38
666733367,475912249,624212208,3025,3.0,43681.38
666733367,388301997,600641561,121,3.0,43681.38
666733367,568958311,172996605,5444,3.0,43681.38
666733367,99727250,571645393,8125,3.0,43681.38
666733367,592693496,450142132,3341,3.0,43681.38
666733367,154572341,636374281,2890,3.0,43681.38
