prime,A,x0,trials,param_a_count,param_b_avg
986074417,932636319,140550688,3702,4.0,49619.6
986074417,925228665,323024656,4480,4.0,49619.6
986074417,698909772,141862153,885,4.0,49619.6
986074417,519024390,387969680,7332,4.0,49619.6
986074417,120290784,513708183,1218,4.0,49619.6
986074417,236990194,53885669,4610,4.0,49619.6
986074417,685305213,438455607,4962,4.0,49619.6
986074417,449870087,813378371,3926,4.0,49619.6
986074417,651438781,726582933,20236,4.0,49619.6
986074417,310882702,820413186,3366,4.0,49619.6
986279771,200678376,77655971,5997,4.0,45791.52
986279771,336802012,593783132,2219,4.0,45791.52
986279771,305176142,415914536,1412,4.0,45791.52
986279771,925840432,22733068,2210,4.0,45791.52
986279771,196617839,603264447,906,4.0,45791.52
986279771,401356827,225027325,17829,4.0,45791.52
986279771,123782031,308838628,8842,4.0,45791.52
986279771,725125827,60392721,10286,4.0,45791.52
986279771,518249728,244334875,970,4.0,45791.52
986279771,332220293,321673056,2343,4.0,45791.52
986706013,516383412,776572326,5157,4.0,45537.72
986706013,793518255,424345403,1343,4.0,45537.72
986706013,73474085,357133214,4061,4.0,45537.72
986706013,17967968,869361293,14390,4.0,45537.72
986706013,82712305,134439516,13354,4.0,45537.72
986706013,966061028,828974545,13523,4.0,45537.72
986706013,983725772,543634555,9636,4.0,45537.72
986706013,118410065,564860592,5863,4.0,45537.72
986706013,350662392,662327619,8760,4.0,45537.72
986706013,403544032,320511888,6940,4.0,45537.72
