Interval_ID,Start,End,Valid_Triplets,Rejections,Rejection_Rate
1,10000,11000,1,0,0.0
2,11001,12101,1,0,0.0
3,12102,13312,1,1,100.0
4,13313,14644,1,1,100.0
5,14645,16109,1,0,0.0
6,16110,17721,1,1,100.0
7,17722,19494,1,0,0.0
8,19495,21444,1,0,0.0
9,21445,23589,1,0,0.0
10,23590,25949,1,0,0.0
11,25950,28545,1,0,0.0
12,28546,31400,1,0,0.0
13,31401,34541,1,0,0.0
14,34542,37996,1,0,0.0
15,37997,41796,1,0,0.0
16,41797,45976,1,0,0.0
17,45977,50574,1,0,0.0
18,50575,55632,1,0,0.0
19,55633,61196,1,0,0.0
20,61197,67316,1,0,0.0
21,67317,74048,1,0,0.0
22,74049,81453,1,0,0.0
23,81454,89599,1,0,0.0
24,89600,98560,1,0,0.0
25,98561,99999,1,0,0.0
GLOBAL_SUMMARY,ALL,ALL,25,3,12.0
